"Actions","Operacje"
"An error occurred while marking notification as read.","Wystąpił błąd podczas oznaczania powiadomień jako przeczytane."
"An error occurred while marking the messages as read.","Wystąpił błąd podczas oznaczania wiadomości jako przeczytane."
"An error occurred while removing messages.","Wystąpił błąd podczas usuwania wiadomości."
"An error occurred while removing the message.","Wystąpił błąd podczas usuwania wiadomości."
"Are you sure?","Czy na pewno tego chcesz?"
"Date Added","Data dodania"
"Last Update","Ostatnia aktualizacja"
"Mark as Read","Oznacz jako przeczytane"
"Mark as read","Oznacz jako przeczytane"
"Message","Wiadomość"
"Messages Inbox","Skrzynka odbiorcza"
"Notifications","Powiadomienia"
"Please select messages.","Wybierz wiadomości."
"Read Details","Czytaj szczegóły"
"Remove","Usuń"
"Severity","Priorytet"
"Show List","Pokaż listę"
"Show Toolbar","Pokaż pasek narzędzi"
"The message has been marked as read.","Wiadomość została oznaczona jako przeczytana."
"The message has been removed.","Wiadomość została usunięta."
"Total of %d record(s) have been marked as read.","%d wpisów zostało oznaczonych jako przeczytane."
"Total of %d record(s) have been removed.","Usunięto %d wpis(ów)."
"Unable to proceed. Please, try again.","Nie można kontynuować. Proszę spróbować później"
"Update Frequency","Częstotliwość aktualizacji"
"Use HTTPS to Get Feed","Używaj HTTPS do pobierania kanałów"
"Wrong message type","Nieprawidłowy typ wiadomości"
"critical","krytyczny"
"major","ważne"
"minor","drobne"
"notice","informacja"
