" The customer does not exist in the system anymore."," Klient nie istnieje już w systemie."
" [deleted]"," [usunięty]"
" and "," i "
"%s (Default Template from Locale)","%s (Domyślny szablon z języka)"
"%s cache type(s) disabled.","%s typ(ów) cache zostało wyłączonych."
"%s cache type(s) enabled.","%s typ(ów) cache zostało włączonych."
"%s cache type(s) refreshed.","%s typ(ów) cache zostało odświerzonych."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Dla typu ""Serwer lokalny"" musisz uzyć ścieżki relatywnej do instalacji Magento var/export or var/import, np. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Dla US 2-literowe nazwy stanów)"
"(If left empty will be auto-generated)","(Pozostawione puste sprawi, że zostanie wygenerowane automatycznie)"
"(Leave empty for first spreadsheet)","(Pozostaw puste dla pierwszego arkusza)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty zostaną dodane/zaktualizowane w tym sklepie jeśli kolumna 'store' będzie pusta lub nie będzie istniała w pliku importu.)"
"(Shift-)Click or drag to change value","kliknij trzymając Shift lub przeciągnij aby zmienić wartość"
"(Starting with)","(Zaczynając od)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Gdy 'Nie' tylko mapowane pola zostaną zaimportowane. Podczas mapowania używaj 'kolumna1', 'kolumna2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Musisz zwiększyć ilość przydzielonej pamięci memory_value przed zmianą tej wartości)"
"(\\t for tab)","(\\t dla tabulatora)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - jeśli indeksowanie jest w trakcie, zostanie zatrzymane i nowy proces zostanie rozpoczęty"
"* Required Fields","* wymagane pola"
"- Click on any of the time parts to increase it","- Kliknij na dowolnej części kontrolki aby ją zwiększyć"
"- Hold mouse button on any of the above buttons for faster selection.","- Przytrzymaj przycisk myszy na powyższych przyciskach aby szybciej wybrać"
"- Use the %s buttons to select month","- Użyj przycisków %s aby wybrać miesiąc"
"- Use the %s, %s buttons to select year","- Użyj przycisków %s aby wybrać rok"
"- or Shift-click to decrease it","- lub kliknij trzymając Shift aby zmniejszyć"
"- or click and drag for faster selection.","- lub naciśnij i przeciągnij aby wybrać szybciej"
"-- Not Selected --","-- Nie wybrano --"
"-- Please Select --","-- Proszę wybrać --"
"-- Please Select Billing Agreement--","-- Proszę wybrać umowę rozliczeniową --"
"-- Please Select a Category --","-- Proszę wybrać kategorię --"
"-- Please select --","-- Proszę wybrać --"
"--Please Select--","-- Proszę wybrać --"
"1 Hour","1 godz."
"12 Hours","12 godz."
"12h AM/PM","12h przed/po południu"
"2 Hours","2 godz."
"24 Hours","24 godz."
