"Action","Operacja"
"An error occurred while creating the backup.","Wystąpił błąd podczas tworzenia kopii zapsowej."
"An error occurred while writing to the backup file ""%s"".","Wystąpił błąd podczas zapisywania pliku kopii zapasowej ""%s""."
"Are you sure you want to delete the selected backup(s)?","Czy na pewno chcesz usunąć wybraną kopię bezpieczeństwa?"
"Backup Type","Typ kopii"
"Backup file ""%s"" cannot be read from or written to.","Plik kopii zapasowej ""%s"" nie może być odczytany lub zapisywany."
"Backup file ""%s"" does not exist.","Plik kopii ""%s"" nie istnieje."
"Backup file does not exist.","Plik kopii nie istnieje."
"Backup file handler was unspecified.","Uchwyt pliku kopii nie został wybrany."
"Backup file not found","Plik kopii nie został znaleziony"
"Backup file path was not specified.","Ścieżka pliku kopii nie została wybrana."
"Backups","Kopie zapasowe"
"Cannot read backup file.","Nie można odczytać pliku kopii zapasowej."
"Create Backup","Wykonaj kopię"
"Database","Baza danych"
"Database Backup","Kopia bazy danych"
"Database and Media","Baza danych i media"
"Database and Media Backup","Kopia bazy danych i mediów"
"Database was successfuly backed up.","Baza danych została pomyślnie skopiowana."
"Download","Pobierz"
"Enable Scheduled Backup","Włącz zaplanowaną kopię"
"Failed to connect to FTP","Nie udało się połączyć z FTP"
"Failed to delete one or several backups.","Nie udało się jednej lub wielu kopii."
"Failed to rollback","Przywracanie kopii nie powiodło się"
"Failed to validate FTP","Nie udało się sprawdzić poprawności FTP"
"Frequency","Częstotliwość"
"Invalid Password.","Nieprawidłowe hasło."
"Maintenance Mode","Tryb remontowy"
"Name","Nazwa"
"Not enough free space to create backup.","Brak wystarczającej ilości miejsca do utworzenia kopii."
"Not enough permissions to create backup.","Brak wystarczających uprawnień do utworzenia kopii."
"Not enough permissions to perform rollback","Brak wystarczających uprawnień do przywrócenia kopii."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Proszę odznaczyć ""Włączanie trybu remontowego"" lub zaktualizować swoje uprawnienia do wykonania kopii."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Proszę odznaczyć ""Włączanie trybu remontowego"" lub zaktualizować swoje uprawnienia do przywracania kopii."
"Put store on the maintenance mode while backup's creation","Przestaw sklep na tryb remontowy podczas tworzenia kopii bezpieczeństwa"
"Rollback","Przywracanie"
"Scheduled Backup Settings","Ustawienia zaplanowanej kopii"
"Size, Bytes","Rozmiar, bajty"
"Start Time","Czas rozpoczęcia"
"System","System"
"System (excluding Media)","System (z wyłączeniem Media)"
"System Backup","Kopia systemu"
"System couldn't put store on the maintenance mode","System nie mógł przestawić sklepu w tryb remontowy"
"The database and media backup has been created.","Kopia bazy danych i mediów została utworzona."
"The database backup has been created.","Kopia bazy danych została utworzona."
"The file was compressed with Zlib, but this extension is not installed on server.","Pliki zostały skompresowane Zlib, ale to rozszerzenie nie jest zainstalowane na serwerze."
"The selected backup(s) has been deleted.","Wybrana kopia została usunięta."
"The system (excluding Media) backup has been created.","Kopia systemu (bez Mediów) została utworzona."
"The system backup has been created.","Kopia systemu została utworzona."
"Time","Czas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nie można utworzyć kopii. Proszę spróbować później."
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Wrong order of creation for new backup.","Zła kolejność tworzenia dla nowej kopii zapasowej."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Nie masz wystarczających uprawnień do włączenia trybu Remontowego na czas tej operacji."
