"%1$s incl tax.","%1$s z podatkiem"
"* Required Fields","* wymagane pola"
"-- Select --","--Wybierz--"
"Add New Option","Dodaj nową opcję"
"Add Selection","Dodaj wybór"
"As Low as","Już od"
"As low as","Już od"
"Bundle Items","Produkty w pakiecie"
"Bundle Product","Produkt w pakiecie"
"Bundle Product View Summary","Podsumowanie widoku produktu w pakiecie"
"Buy %1$s","Kup %1$s"
"Buy %1$s for","Kup %1$s za"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s z podatkiem) za każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s za każdy"
"Buy %1$s with %2$s discount each","Kup %1$s z %2$s zniżką na każdym"
"Catalog Product View (Bundle)","Widok produktu w katalogu (produkt w pakiecie)"
"Checkbox","Pole do zaznaczenia"
"Choose a selection...","Wybierz selekcje..."
"Click for price","Kliknij po cenę"
"Close","Zamknij"
"Default","Domyślny"
"Default Qty","Domyślna ilość"
"Default Title","Domyślny tytuł"
"Drop-down","Rozwijane"
"Dynamic","Dynamiczny"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku"
"Fixed","Stały"
"From","Od"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem"
"Input Type","Typ pola"
"Is Required","Jest wymagane"
"Message:","Wiadomość:"
"Multiple Select","Wiielokrotny wybór"
"N/A","N/D"
"No options of this product are available.","Brak opcji dla tego produktu."
"None","Brak"
"Percent","Procent"
"Percent Discount","Zniżka procentowa"
"Please Select Products to Add","Zaznacz produkty do dodania"
"Please enter a number greater 0 in this field.","Proszę o podanie numeru większego od 0 w tym polu."
"Please enter search conditions to view products.","Wpisz kryteria wyszukiwania, aby zobaczyć produkty."
"Please select options for product.","Wybierz opcje dla produktu."
"Please specify product option(s).","Proszę określić opcję produktu."
"Position","Pozycja"
"Price Range","Zakres ceny"
"Price Type","Typ ceny"
"Price as configured","Cena z konfiguracji"
"Qty:","Ilość:"
"Radio Buttons","Pola wyboru"
"Required options are not selected.","Wymagane opcje nie zostały wybrane."
"Selected required options are not available.","Wybrane wymagane opcje nie są dostępne."
"Separately","Oddzielnie"
"Ship Bundle Items","Dostawa powiązanych produktów"
"Shipment","Dostawa"
"Store View Title","Tytuł widoku sklepu"
"There is no defined renderer for ""%s"" option type.","Nie ma wybranego generatora dla typu opcji ""%s""."
"This product is also part of bundle(s)","Produkt jest również częścią zestawu"
"To","Do"
"To:","Do:"
"Together","Razem"
"Total incl. Tax: %1$s","Łącznie z podatkiem: %1$s"
"Use Default Value","Użyj wartości domyślnej"
"User Defined Qty","Ilość definiowana przez użytkownika"
"and","i"
"each","każdy"
"save","zapisz"
