"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"%s and above","%s i więcej"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"* Required Fields","* wymagane pola"
"-- Please Select --","-- Prosimy wybrać --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 domyślnie, jeśli nie zdefiniowano. Opróżnij cache bloków HTML, aby odświrzyć natychmiast."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","
<strong style=""color:red"">Ostrzeżenie!</strong> Zastosowanie MAP domyślnie ukryje wszystkie ceny produktów w sklepie."
"A group with the same name already exists.","Grupa o takiej samej nazwie już istnieje"
"A name is required","Nazwa jest wymagana"
"A product type is not defined for the indexer.","Typ produktu nie jest zdefiniowany dla indeksowania."
"ALL GROUPS","WSZYSTKIE GRUPY"
"AM","przed południem"
"Action","Operacja"
"Actual Price","Aktualna cena"
"Add","Dodaj"
"Add Attribute","Dodaj cechę"
"Add Design Change","Dodaj zmianę wyglądu"
"Add Group","Dodaj grupę"
"Add Group Price","Dodaj cenę dla grupy"
"Add New","Dodaj nowe"
"Add New Attribute","Dodaj nową cechę"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add New Group","Dodaj nową grupę"
"Add New Images","Dodaj nowe obrazki"
"Add New Option","Dodaj nową opcję"
"Add New Row","Dodaj nowy rząd"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Add New Set","Dodaj nowy zestaw"
"Add Product","Dodaj produkt"
"Add Product To Websites","Dodaj produkty do witryn"
"Add Root Category","Dodaj kategorię bazową"
"Add Subcategory","Dodaj podkategorię"
"Add Tax","Dodaj podatek"
"Add Tier","Dodaj poziom"
"Add attribute into attribute set","Dodaj cechę do zestawu cech"
"Add group into attribute set","Dodaj grupę do zestawu cech"
"Add new custom option into product","Dodaj nową indywidualną opcję do produktu"
"Add new values into custom option","Dodaj nową wartość do indywidualnej opcji"
"Add option","Dodaj opcję"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Additional Information","Informacje dodatkowe"
"Alert Urls","URL alertu"
"All","Wszystko"
"All Product Types","Wszystkie typy produktów"
"All Websites","Wszystkie witryny"
"All products","Wszystkie produkty"
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane, Nowe produkty - produkty oznaczone jako nowe"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Wszystkie produkty z tego zestawu zostaną usunięte! Czy na pewno chcesz usunąć zestaw cech?"
"Allow All Products per Page","Zezwól na pokazywanie wszystkich produktów na stronie"
"Allow Dynamic Media URLs in Products and Categories","Zazwól na dynamiczne URLe mediów w produktach i kategoriach"
"Allow HTML Tags on Frontend","Zezwól na tagi HTML w interfejsie klienta"
"Allowed File Extensions","Dozwolone rozszerzenia plików"
"Allowed file extensions to upload","Dozwolone rozszerzenia plików do załadowania"
"Amount","Kwota"
"An error occurred while adding products to websites.","Wystąpił błąd podczas dodawania produktów do witryn."
"An error occurred while clearing comparison list.","Wystąpił błąd podczas czyszczenia listy porównania."
"An error occurred while deleting this review.","Wystąpił błąd podczas usuwania opinii."
"An error occurred while removing products from websites.","Wystąpił błąd podczas usuwania produktów z witryn."
"An error occurred while saving the URL rewrite","Wystąpił błąd podczas zapisywania przekierowania URL."
"An error occurred while saving the attribute set.","Wystąpił błąd podczas zapisywania zestawu cech."
"An error occurred while saving the collection, aborting. Error message: %s","Wystąpił błąd podczas zapisywania kolekcji, przerywam. Błąd: %s"
"An error occurred while saving the product. ","Wystąpił błąd podczas zapisywania produktu. "
"An error occurred while saving the search query.","Wystąpił błąd podczas zapisywania zapytania wyszukiwania."
"An error occurred while saving this group.","Wystąpił błąd podczas zapisywania grupy."
"An error occurred while saving this review.","Wystąpił błąd podczas zapisywania opinii."
"An error occurred while trying to delete the category.","Wystąpił błąd podczas próby usuwania kategorii."
"An error occurred while updating the product(s) attributes.","Wystąpił błąd podczas aktualizowania cech produktów."
"An error occurred while updating the product(s) status.","Wystąpił błąd podczas aktualizowania statusu produktów."
"An invalid group ID is specified, skipping the record.","Określony nieprawidłowy ID grupy, pomijam wpis."
"An invalid option ID is specified for %s (%s), skipping the record.","Nieprawidłowy ID opcji dla %s (%s), pomijam wpis."
"An invalid store was specified.","Wybrano nieprawidłowy sklep."
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Ma zastosowanie tylko do produktów katalogu i kategorii. Wszystkie odniesienia do mediów wstawione do edytora jako statyczne adresy URL. Nie będzie to aktualizowane jeśli zmienią się bazowe adresy URL sklepu."
"Apply MAP (Default Value)","Zastosuj MAP (domyślna wartość)"
"Apply To","Zastosuj do"
"Approved","Zaakceptowany"
"Are you sure you want to delete this category?","Czy na pewno usunąć tę kategorię?"
"Are you sure you would like to remove all products from your comparison?","Czy na pewno chcesz usunąć wszystkie przedmioty z porównania?"
"Are you sure you would like to remove this item from the compare products?","Czy na pewno chcesz usunąć ten produkt z porównania?"
"Are you sure?","Czy na pewno tego chcesz?"
"As low as:","Już od:"
"Assign","Przyporządkuj"
"Assign product link","Przyporządkuj link produktu"
"Assign product to category","Przyporządkuj produkt do kategorii"
"Assigned Products","Przypisane produkty"
"Associated Products","Produkty składowe konfiguracji"
"Attrib. Set Name","Nazwa zestawu cech"
"Attribute ""%s"" is invalid.","Cecha "%s" jest nieprawidłowa."
