"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Reguła cenowa katalogu %d bazująca na cesze ""%s"" została wyłączona."
"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj nową regułę"
"An error occurred while deleting the rule. Please review the log and try again.","Wystąpił błąd podczas usuwania reguły. Proszę przejrzeć logi i spróbować ponownie."
"An error occurred while saving the rule data. Please review the log and try again.","Wystąpił błąd podczas zapisywania danych reguły. Proszę przejrzeć logi i spróbować ponownie."
"Apply","Zastosuj"
"Apply Rules","Zastosuj reguły"
"Attribute Set","Zestaw cech"
"By Fixed Amount","O stałą ilość"
"By Percentage of the Original Price","O wartość procentową oryginalnej ceny"
"Catalog","Katalog"
"Catalog Price Rule","Reguła cenowa katalogu"
"Catalog Price Rules","Reguły cenowe katalogu"
"Category","Kategoria"
"Conditions","Warunki"
"Conditions (leave blank for all products)","Warunki (pozostaw puste dla wszystkich produktów)"
"Conditions Combination","Kombinacja warunków"
"Customer Groups","Grupy klientów"
"Date Expire","Data wygaśnięcia"
"Date From","Data od"
"Date Start","Data rozpoczęcia"
"Date To","Data do"
"Description","Opis"
"Discount Amount","Wielkość zniżki"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Enable Discount to Subproducts","Włącz zniżkę do podproduktów"
"Expiration Date","Data ważności"
"From Date","Od daty"
"General Information","Informacje ogólne"
"ID","ID"
"Inactive","Nieaktywny"
"New Rule","Nowa reguła"
"No","Nie"
"Options","Opcje"
"Priority","Priorytet"
"Product Attribute","Cecha produktu"
"Promotions","Promocje"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Save and Apply","Zapisz i zastosuj"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Start Date","Data rozpoczęcia"
"Status","Status"
"Stop Further Rules Processing","Zaniechaj przetwarzania kolejnych reguł"
"The rule has been deleted.","Reguła została usunięta."
"The rule has been saved.","Reguła została zapisana."
"The rules have been applied.","Reguła została zastosowana."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Są reguły, które zostały zmienione, ale nie zastosowane.Tylko użytkownicy z odpowiednimi uprawnieniami mogę je zastosować.."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Są reguły, które zostały zmienione, ale nie zastosowane. Kliknij na Zastosuj reguły, aby zobaczyć natychmiastowy efekt w katalogu."
"This rule no longer exists.","Ta reguła już nie istnieje."
"To Date","Do daty"
"To Fixed Amount","Do stałej ilości"
"To Percentage of the Original Price","Do wartości procentowej oryginalnej ceny"
"Type","Typ"
"Unable to apply rules.","Nie udało się zastosować reguł."
"Unable to find a rule to delete.","Nie można znaleźć reguły do usunięcia."
"Update Prices Using the Following Information","Zaktualizuj ceny używając następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Website","Witryna"
"Websites","Witryny"
"Wrong rule specified.","Wybrano nieprawidłową regułę."
"Yes","Tak"
