"%s was added to your shopping cart.","%s został dodany do Twojego koszyka."
"%s was updated in your shopping cart.","%s został zaktualizowany w Twoim koszyku."
"* Required Fields","* wymagane pola"
"Add New Address","Dodaj nowy adres"
"Add New Condition","Dodaj nowy warunek"
"Add coupon code for shopping cart","Dodaj kod kuponu do koszyka "
"Add gift messages to shopping cart","Dodaj wiadomość prezentową do koszyka "
"Add product to shopping cart","Dodaj produkt do koszyka "
"Add product(s) to shopping cart","Dodaj produkt(y) do koszyka "
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Additional Product Info","dodatkowe informacje o produkcie"
"Address","Adres"
"Address %s of %s","Adres %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po dodaniu produktu przekieruj do koszyka"
"Allow Guest Checkout","Zezwól na zamówienia składane przez niezalogowanych"
"Already registered?","Masz już konto?"
"An error occurred in the process of payment","W procesie płatności wystąpił błąd"
"An error occurred while deleting this condition.","Wystąpił błąd podczas usuwania tego warunku."
"An error occurred while saving this condition.","Wystąpił błąd podczas zapisywania tego warunku."
"Apply Coupon","Zastosuj kupon"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Back","Powrót"
"Back to Billing Information","Wróć do informacji o płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Back to Shopping Cart","Wróć do koszyka"
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje rozliczeniowe"
"Billing Information - %s","Informacje o płatności - %s"
"Cancel Coupon","Anuluj kupon"
"Cannot add item to the shopping cart.","Nie można dodać produktu do koszyka."
"Cannot add the item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot add the item to shopping cart.","Nie można dodać produktu do koszyka."
"Cannot apply the coupon code.","Nie można zastosować kodu z kuponu."
"Cannot configure product.","Nie można skonfigurować produktu."
"Cannot open the overview page","Nie można otworzyć strony z przeglądem"
"Cannot process the item.","Nie można przetworzyć elementu."
"Cannot remove the item.","Nie można usunąć produktu."
"Cannot update shopping cart.","Nie można zaktualizować koszyka."
"Cannot update the item.","Nie można zaktualizować produktu."
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Cart Product API","API koszyka"
"Cart Subtotal:","Suma częściowa w koszyku:"
"Change","Zmień"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkbox Text","Tekst pola do zaznaczenia"
"Checkout","Zamówienie"
"Checkout Conditions","Warunki zamówienia"
"Checkout Method","Metoda zamówienia"
"Checkout Options","Opcje zamówienia"
"Checkout Progress Wrapper","Wrapper postępu zamówienia"
"Checkout Section","Sekcja zamówienia"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"Checkout as Guest","Złóż zamówienie bez zakładania konta"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"Checkout with Multiple Addresses","Zamówienie z wieloma adresami"
"City","Miasto"
"Clear Shopping Cart","Opróżnij koszyk"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Kliknij <a href=""%s"" onclick=""this.target=\'_blank\'"">tu aby wydrukować</a> kopię potwierdzenia złożenia zamówienia."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknij <a href=""%s"">tutaj, aby kontynuować zakupy</a>."
"Close","Zamknij"
"Company","Firma"
"Condition Name","Nazwa warunku"
"Configurable Product Image","Obrazek konfigurowalnego produktu"
"Configure Cart Item","Konfiguruj element koszyka"
"Confirm Password","Potwierdź hasło"
"Content","Zawartość"
"Content Height","Wysokość zawartości"
"Content Height (css)","Wysokość zawartości (css)"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Review Your Order","Kontynuuj, aby przejrzeć swoje zamówienie"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Country","Kraj"
"Coupon code ""%s"" is not valid.","""%s"" nie jest prawidłowym kodem kuponu."
"Coupon code ""%s"" was applied.","Kod ""%s"" został zastosowany."
"Coupon code was canceled.","Kod kuponu został anulowany."
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Create an order from shopping cart","Utwórz zamówienie na podstawie koszyka"
"Create shopping cart","Utwórz koszyk"
"Customer Address is not valid.","Adres klienta jest niepoprawny."
"Customer Information","Informacje o kliencie"
"Customer's information","Informacje o kliencie"
"Data saving problem","Problem podczas zapisywania danych"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Delete Condition","Usuń warunek"
