"A block identifier with the same properties already exists in the selected store.","Identyfikator bloku o tych samych właściwościachjuż istnieje w wybranym sklepie."
"A directory with the same name already exists. Please try another folder name.","Katalog o takiej samej nazwie już istnieje. Proszę wybrać inną nazwę folderu."
"A page URL key for specified store already exists.","URL strony dla wybranego sklepu już istnieje."
"Action","Operacja"
"Add New Block","Dodaj nowy blok"
"Add New Page","Dodaj nową stronę"
"All Countries","Wszystkie kraje"
"An error occurred while saving the page.","Wystąpił błąd podczas zapisywania strony."
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"Are you sure you want to delete current folder?","Czy na pewno chcesz usunąć bieżący folder?"
"Are you sure you want to delete the selected file?","Czy na pewno chcesz usunąć wybrany plik?"
"Block","Blok"
"Block Information","Informacje o bloku"
"Block Title","Tytuł bloku"
"CMS","CMS"
"CMS Content Wrapper","Wrapper zawartości CMS"
"CMS Home Page","Strona główna CMS"
"CMS No Cookies Page","Strona CMS Brak cookie"
"CMS No Route Page","Strona CMS Brak przekierowania"
"CMS No-Route Page","Strona CMS Brak przekierowania"
"CMS Page","Strona CMS"
"CMS Page Link","Link strony CMS"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"CMS Pages (All)","Strony CMS (wszystkie)"
"CMS Static Block","Blok statyczny CMS"
"CMS Static Block Default Template","Domyślny szablon blokowy statycznego bloku CMS"
"Cannot create new directory.","Nie można utworzyć nowego katalogu."
"Cannot delete directory %s.","Nie można usunąć katalogu %s."
"Cannot delete root directory %s.","Nie można usunąć bazowego katalogu %s."
"Cannot upload file.","Nie można załadować pliku."
"Collapse All","Zwiń wszystko"
"Content","Zawartość"
"Content Heading","Nagłowek treści"
"Content Management","Zarządzanie treścią"
"Contents of a Static Block","Zawartość bloku statycznego"
"Create Folder...","Utwórz folder..."
"Custom Design","Indywidualny wygląd"
"Custom Design From","Indywidualny wygląd od"
"Custom Design To","Indywidualny wygląd do"
"Custom Layout","Indywidualny układ"
"Custom Layout Update XML","XML aktualizacji układu"
"Custom Theme","Indywidualny motyw graficzny"
"Customer Tax Class Information","Informacje o klasie podatku klienta"
"Date Created","Data utworzenia"
"Delete Block","Usuń blok"
"Delete File","Usuń plik"
"Delete Folder","Usuń folder"
"Delete Page","Usuń stronę"
"Description","Opis"
"Design","Wygląd"
"Disabled","Wyłączone"
"Disabled Completely","Wyłączone kompletnie"
"Disabled by Default","Wyłączone domyślnie"
"Edit Block","Edytuj blok"
"Edit Block '%s'","Edycja bloku '%s'"
"Edit Page","Edytuj stronę"
"Edit Page '%s'","Edycja strony '%s'"
"Enable WYSIWYG Editor","Włacz edytor WYSIWYG"
"Enabled","Włączone"
"Enabled by Default","Włączone domyślnie"
"Expand All","Rozwiń wszystko"
"General Information","Informacje ogólne"
"Go to Home Page","Przejdź na stronę główną"
"Home","Strona główna"
"ID","ID"
"Identifier","Identyfikator"
"If empty, the Page Title will be used","Tytuł strony zostanie użyty, jeśli puste"
"Images (%s)","Obrazki (%s)"
"Insert File","Wstaw plik"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nieprawidłowa nazwa folderu. Proszę używać tylko znaków alfanumerycznych, podkreśleń i myślników."
"Keywords","Słowa kluczowe"
"Last Modified","Data modyfikacji"
"Layout","Układ"
"Layout Update XML","XML aktualizacji układu"
"Link to a CMS Page","Link do strony CMS"
"Manage Pages","Zarządzanie stronami"
"Media Gallery","Galeria mediów"
"Media Storage","Składowanie mediów"
"Meta Data","Dane META"
"Meta Description","Opis strony META"
"Meta Keywords","Słowa kluczowe"
"New Block","Nowy blok"
"New Folder Name:","Nazwa nowego folderu:"
"New Page","Nowa strona"
"No files found","Nie znaleziono plików"
"Page Information","Informacje o stronie"
"Page Layout","Układ strony"
"Page Status","Status strony"
"Page Title","Tytuł strony"
"Pages","Strony"
"Product Tax Class Information","Informacje o klasie podatku dla produktów"
"Redirect to CMS-page if Cookies are Disabled","Przekieruj do strony CMS jeśli cookies są wyłączone"
"Relative to Website Base URL","Relatywny do bazowego URL witryny"
"Save Block","Zapisz blok"
"Save Page","Zapisz stronę"
"Save Process","Proces zapisu"
"Select Block...","Wybierz blok..."
"Select Page...","Wybierz stronę..."
"Show Breadcrumbs for CMS Pages","Pokaż ścieżki powrotu (okruszki) dla stron CMS"
"Show Notice if JavaScript is Disabled","Pokaż komunikat jeśli JavaScript jest wyłączony"
"Static Blocks","Bloki statyczne"
"Status","Status"
"Storage Root","Baza składowania"
"Store View","Widok sklepu"
"Template","Szablon"
"The block has been deleted.","Blok został usunięty."
"The block has been saved.","Blok został zapisany."
"The directory %s is not writable by server.","Katalog %s nie ma praw do zapisu przez serwer."
"The page URL key cannot consist only of numbers.","Klucz URL strony nie może składać się wyłącznie z cyfr."
"The page URL key contains capital letters or disallowed symbols.","Klucz URL strony zawiera wielkie litery lub niedozwolone symbole."
"The page has been deleted.","Strona została usunięta."
"The page has been saved.","Strona została zapisana."
"The static block content cannot contain  directive with its self.","Zawartość statycznego bloku nie może zawierać dyrektywy z sobą samym."
"This block no longer exists.","Ten blok już nie istnieje"
"This page no longer exists.","Ta strona już nie istnieje"
"Title","Tytuł"
"URL Key","Klucz URL"
"Unable to find a block to delete.","Nie znaleziono bloku do usunięcia"
"Unable to find a page to delete.","Nie znaleziono strony do usunięcia"
"WYSIWYG Options","Opcje WYSIWYG"
"px.","px."
