"Collected Files Count","Licznik plików kolekcji"
"Compilation","Kompilacja"
"Compilation State","Stan kompilacji"
"Compilation error","Błąd kompilacji"
"Compiled","Skompilowane"
"Compiled Scopes Count","Licznik zakresów kompilacji"
"Compiler Status","Status kompilacji"
"Compiler include path is disabled.","Ścieżka załączania kompilacji jest wyłączona."
"Compiler include path is enabled.","Ścieżka załączania kompilacji jest włączona."
"Directory ""%s"" must be writeable","Katalog ""%s"" musi mieć prawa do zapisu"
"Disable","Wyłącz"
"Disabled","Wyłączone"
"Enable","Włącz"
"Enabled","Włączone"
"File ""%s"" must be writeable","Plik ""%s"" musi mieć prawa do zapisu"
"Not Compiled","Nieskompilowane"
"Run Compilation Process","Rozpocznij proces kompilacji"
"Scopes Compilation Settings","Ustawienia zakresów kompilacji"
"System","System"
"The compilation has completed.","Kompilacja została zakończona"
"Tools","Narzędzia"
