"%s","%s"
"%s already exist.","%s już istnieje"
"%s already exists.","%s już istnieje"
"-- Please Select --","-- Prosimy wybrać --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Ostrzeżenie!</strong> Podczas używania CDN w niektórych przypadkach może nie działać poprawnie jeśli CDN nie jest w twojej subdomenie"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Ostrzeżenie!</strong> Podczas używania kodu sklepu w adresach URL w niektórych przypadkach system może nie działać poprawnie jeśli URLe bez tego kodu są ustawione w zewnętrnych usługach (np. PayPal itp.)."
"A category object is required for determining the product request path.","Obiekt kategorii jest wymagany do określenia ścieżki polecenia produktu."
"Add Block Names to Hints","Dodaj nazwy bloków do podpowiedzi"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"Admin","Administrator"
"Admin Base URL","Bazowy URL dla administratora"
"Admin User Emails","E-maile administracyjne"
"Advanced","Zaawansowane"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Po wybraniu nowej lokalizacji przechowywania mediów, wciśnij przycisk synchronizacji, aby przetransferować wszystkie media do tej lokalizacji. Media nie będą dostępne w nowej lokalizacji dopóki proces synchronizacji się nie zakończy."
"Allow Countries","Dopuść kraje"
"Allow Symlinks","Zezwól na symlinki"
"Allowed IPs (comma separated)","Dozwolone IP (oddzielone przecinkami)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Dozwolone typy plików: ICO, PNG, GIF, JPEG, APNG, SVG. Nie wszystkie przeglądarki wspierają wszystkie z tych formatów!"
"Allows customers to stay logged in when switching between different stores.","Pozwól klientom zostawać zalogowanym podczas przechodzenia między sklepami."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Tekst alternatywny dla linku następny w menu paginacji. Jeśli puste, domyślna strzałka zostanie użyta."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Tekst alternatywny dla linku poprzedni w menu paginacji. Jeśli puste, domyślna strzałka zostanie użyta."
"An error occurred while saving. Please review the error log.","Wystąpił błąd podczas zapisywania. Prosimy przejrzeć log błędów."
"Anchor Text for Next","Tekst dla Następny"
"Anchor Text for Previous","Tekst dla Poprzedni"
"Anchor symbol (#) is not supported in request path","Symbol (#) nie jest obsługiwany w ścieżce polecenia"
"Anchor symbol (#) is not supported in url rewrite suffix","Symbol (#) nie jest obsługiwany w sufiksie przekierowania url"
"Are you sure?","Czy na pewno tego chcesz?"
"Auto-redirect to Base URL","Automatycznie przekieruj do bazowego URL"
"Back","Powrót"
"Backup Options","Opcje kopii zapasowej"
"Base JavaScript URL","Bazowy URL dla JavaScript"
"Base Link URL","BAzowy URL dla linków"
"Base Media URL","Bazowy URL dla mediów"
"Base Secure URL","Bazowy zabezpieczony URL"
"Base Skin URL","Bazowy URL skórki"
"Base URL","Bazowy URL"
"Base Unsecure URL","Bazowy niezabezpieczony URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Przed modyfikacją kodu widoku sklepu upewnij się, że nie jest on używany w index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Przed modyfikacją kodu strony sklepu upewnij się, że nie jest on używany w index.php."
"Block with name ""%s"" already exists","Blok o nazwie ""%s"" już istnieje"
"Browser Capabilities Detection","Wykrywanie możliwości przeglądarki"
"CSS Settings","Ustawienia CSS"
"Cache Storage Management","Zarządzanie przechowywaniem cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Skład cache może zawierać dodatkowe dane. Czy na pewno chcesz je wszystkie wyczyścić?"
"Can not create invoice. Order was not found.","Nie można utworzyć faktury. Zamówienie nie zostało znalezione."
"Can't retrieve request object","Nie można pobrać żądanego obiektu"
"Can\'t retrieve entity config: %s","Nie można pobrać konfiguracji jednostki: %s"
"Cancel","Anuluj"
"Cannot complete this operation from non-admin area.","Nie można ukończyć tej operacji z nieadministracyjnego obszaru."
"Card type does not match credit card number.","Typ karty nie zgadza się z podanym numerem karty."
"Code","Kod"
"Controller file was loaded but class does not exist","Plik kontrolera został załadowany jednak klasa nie istnieje"
"Cookie Domain","Domena dla cookie"
"Cookie Lifetime","Czas życia cookie"
"Cookie Path","Ścieżka dla cookie"
"Cookie Restriction Mode","Tryb ograniczenia cookie"
"Copyright","Prawa autorskie"
"Core","Core"
"Countries Options","Opcje krajów"
"Country","Kraj"
"Create Store","Utwórz sklep"
"Create Store View","Utwórz widok sklepu"
"Create Website","Utwórz witrynę"
"Credit card number does not match credit card type.","Numer karty nie zgadza się z podanym typem karty."
"Current Package Name","Nazwa obecnego pakietu"
"Custom Admin Path","Indywidualny adres URL admina"
"Custom Admin URL","Indywidualny adres URL admina"
"Custom Design","Indywidualny wygląd"
"Custom Email 1","Niestandardowy e-mail 1"
"Custom Email 2","Niestandardowy e-mail 2"
"Custom Variables","Własne zmienne"
"Custom1 Contact Email","Własny e-mail kontaktowy 1"
"Custom1 Contact Name","Własna nazwa do kontaktu 1"
"Custom2 Contact Email","Własny e-mail kontaktowy 2"
"Custom2 Contact Name","Własna nazwa do kontaktu 2"
"Customer Support","Obsługa klienta"
"Dashboard","Panel"
"Date From","Data od"
"Date To","Data do"
"Date/time format ""%s"" is not supported.","Format daty/czasu ""%s"" nie jest obsługiwany."
"Debug","Debuguj"
"Default","Domyślny"
"Default Country","Domyślny kraj"
"Default Description","Domyślny opis"
"Default Keywords","Domyślne słowa kluczowe"
"Default No-route URL","Domyślny URL dla braku adresu"
"Default Pages","Domyślne strony"
"Default Robots","Domyślne roboty"
"Default Store","Domyślny sklep"
"Default Store View","Domyślny widok sklepu"
"Default Title","Domyślny tytuł"
"Default Web URL","Domyślny URL sieciowy"
"Delete","Usuń"
"Delete Store","Usuń sklep"
"Delete Store View","Usuń widok sklepu"
"Delete Website","Usuń witrynę"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Usunięcie %1$s nie spowoduje usunięcia informacji przypisanych do %1$s (np. kategorii,produktów itp). Sugeruje się utworzenie kopii bazy danych przed skasowaniem %1$s."
"Design","Wygląd"
"Design Change","Zmiana wyglądu"
"Developer","Programista"
"Developer Client Restrictions","Ograniczenie dostępu programisty"
"Disable Email Communications","Zablokuj komunikacje poprzez e-mail"
"Disable Modules Output","Zablokuj wyjście modułów"
"Display Demo Store Notice","Wyświetlaj informację o wersji demonstracyjnej"
"Duplicate Of Template Name","Duplikuj nazwę szablonu"
"Edit Design Change","Edycja zmiany wyglądu"
"Edit Store","Edytuj sklep"
"Edit Store View","Edycja widoku sklepu"
"Edit Website","Edytuj witrynę"
"Empty identifier field name","Pusty identyfikator pola nazwa"
"Empty main table name","Pusta nazwa głównej tabeli"
"Enable Charts","Włącz wykresy"
"Enabled","Włączone"
"Enabled for Admin","Włączone dla Panelu Administracyjnego"
"Enabled for Frontend","Włączone dla Katalogu"
"Environment Update Time","Czas aktualizacji środowiska"
"Error in file: ""%s"" - %s","Błąd w pliku: ""%s"" - %s"
"European Union Countries","Kraje Unii Europejskiej"
"Exceptions Log File Name","Nazwa pliku log dla wyjątków"
"Favicon Icon","Ikonka witryny (favicon)"
"File %s does not exist","Plik "%s" nie istnieje"
"File %s is not readable","Plik "%s" nie jest możliwy do odczytania"
"File not found","Plik nie został znaleziony"
"File system","System plików"
"File with an extension ""%value%"" is protected and cannot be uploaded","Plik z rozszerzeniem "%value%" jest chroniony i nie może być przesłany."
"First Day of Week","Pierwszy dzień tygodnia"
"Flush Cache Storage","Opróżnij składowanie cache"
"Flush Magento Cache","Opróżnij składowanie cache Magento"
"Footer","Stopka"
"Forgot Password Email Sender","Nadawca wiadomości o zapomnianym haśle"
"Forgot Password Email Template","Szablon wiadomości o zapomnianym haśle"
"General","Ogólne"
"General Contact","Kontakt ogólny"
"General Contact Email","Podstawowy e-mail kontaktowy"
"General Contact Name","Podstawowa nazwa do kontaktu"
"General Settings","Ustawienia ogólne"
"Get info about current Magento installation","Pobierz informacje o bieżącej instalacji Magento"
"Global","Globalny"
"HTML Head","Nagłówek HTML"
"HTML tags are not allowed","Znaczniki HTML są niedozwolone"
"Header","Nagłówek"
"Host","Host"
"How many links to display at once.","Ile linków wyświetlać na raz."
"ID Path for Specified Store","ID ścieżki dla okreśonego sklepu"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, wyrenderuje link do aktualnej pozycji plus/minus ta wartość. "
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty."
"Input type ""%value%"" not found in the input types list.","Pole typu "%value%" nie zostało odnalezione na liście typów pól."
"Invalid URL '%value%'.","Błędny URL '%value%'."
"Invalid base url type","Nieprawidłowy typ bazowego adresu"
"Invalid block name to set child %s: %s","Nieprawidłowa nazwa bloku dla ustawienia podrzędnego %s: %s"
"Invalid block type: %s","Nieprawidłowy typ bloku: %s"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid connection","Nieprawidłowe połączenie"
"Invalid date","Nieprawidłowa data"
