"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","XML akcji jest niepoprawny."
"An error occurred while opening file: ""%s"".","Wystąpił błąd podczas otwierania pliku: ""%s""."
"Could not load file: ""%s"".","Nie można załadować pliku: ""%s"""
"Could not save file: %s.","Nie można zapisać pliku: %s"
"Declared adapter %s was not found.","Deklarowany adapter %s nie został znaleziony."
"Destination folder ""%s"" is not a directory.","Docelowy folder ""%s"" nie jest katalogiem"
"Destination folder ""%s"" is not writable.","Docelowy folder ""%s"" nie ma praw do zapisu."
"Done","Zrobione"
"Dry run set, stopping execution.","Test ustawiony, zatrzymywanie wykonania"
"ETA: %s","Czas: %s"
"Error in field mapping: field list for mapping is not defined.","Błąd mapowania pola: lista pól do mapowania jest niezdefiniowana."
"File ""%s"" does not exist.","Plik ""%s"" nie istnieje"
"Found %d rows.","Znaleziono %d rzędów"
"Less than a minute","Mniej niż minutę"
"Loaded successfully: ""%s"".","Załadowano pomyślnie: ""%s""."
"Memory Used: %s","Zużycie pamięci: %s"
"Method ""%s"" not defined in adapter %s.","Metoda ""%s"" nie została zdefiniowana w adapterze ""%s""."
"Method ""%s"" was not defined in adapter %s.","Metoda ""%s"" nie została zdefiniowana w adapterze ""%s""."
"Please declare ""adapter"" and ""method"" nodes first.","Zadeklaruj najpierw węzły ""adapter"" i ""method""."
"Processed records: %s","Przetworzone wpisy: %s"
"Profile with the same name already exists.","Profil o takiej samej nazwie już istnieje."
"Saved successfully: ""%s"" [%d byte(s)].","Pomyślnie zapisano: ""%s"" [%d bajt(ów)]"
"Sheet 1","Arkusz 1"
"Skip undefined row.","Pomiń niezdefiniowany rząd"
"Starting %s :: %s","Rozpoczynając %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Docelowy folder ""%s"" nie istnieje lub brak uprawnień do jego utworzenia."
"Total records: %s","Wpisy łącznie: %s"
"hour","godz."
"hours","godz."
"minute","min."
"minutes","min."
