"-- Please select --","-- Proszę wybrać --"
"Allowed Currencies","Dopuszczone waluty"
"Base Currency","Waluta podstawowa"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Bazowa waluta jest używana dla wszystkich transakcji finansowych. Zakres jest definiowany przez zakres cen katalogu (""Katalog"" > ""Cena"" > ""Zakres ceny katalogu"")."
"Can\'t convert rate from ""%s-%s"".","Nie można zmeinić stawki ""%s-%s""."
"Cannot retrieve rate from %s.","Nie można pobrać stawki z %s"
"Connection Timeout in Seconds","Timeout połączenia w sekundach"
"Continue &raquo;","Kontynuuj &raquo;"
"Country","Kraj"
"Country API","Api kraju"
"Country and Format Type combination should be unique","Kombinacja kraju i typu formatu powinna być unikalna"
"Currency","Waluta"
"Currency Options","Opcje waluty"
"Currency Setup","Ustawienia waluty"
"Currency Update Warnings","Ostrzeżenia aktualizacji waluty"
"Default Display Currency","Domyślna wyświetlana waluta"
"Directory","Katalog"
"Display not required State","Pokazuj niewymagany region"
"Enabled","Włączone"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"FATAL ERROR:","BŁĄD KRYTYCZNY:"
"Frequency","Częstotliwość"
"Installed Currencies","Zainstalowane waluty"
"Invalid Import Service specified.","Nieprawidłowa usługa importu"
"Invalid country code: %s","Niepoprawny kod kraju: %s"
"Invalid rates received","Otrzymano niepoprawne stawki"
"Invalid target currency.","Błędna waluta docelowa"
"List of countries","Lista krajów"
"List of regions in specified country","Lista regionów w wybranych krajach"
"Postal Code is Optional for the following countries","Kod pocztowy jest opcjonalny dla następujących krajów"
"Region","Region"
"Region API","Api regionu"
"Scheduled Import Settings","Zaplanowane ustawienia importu"
"Select Your Currency","Wybierz walutę"
"Service","Usługa"
"Start Time","Czas rozpoczęcia"
"State is required for","Region jest wymagany dla"
"State/Province","Województwo:"
"States Options","Opcje regionów"
"Strikeiron Email Update Warnings","E-mail dla ostrzeżeń aktualizacji waluty przez Strikeiron"
"Unable to initialize the import model.","Nie można zainicjować modelu importu."
"Undefined rate from ""%s-%s"".","Niezdefiniowany zakres od ""%s-%s"""
"WARNING:","OSTRZEŻENIE:"
"Webservicex","Webservicex"
"Your current currency is: %s","Aktualna waluta to: %s"
