"""%s"" contains not only digit characters.","""%s"" zawiera nie tylko cyfry."
"""%s"" does not fit the entered date format.","""%s"" nie pasuje do wpisanego formatu daty."
"""%s"" exceeds the allowed file size.","""%s"" przekracza dozwoloną wielkość pliku."
"""%s"" exceeds the allowed length.","""%s"" przekracza dozwoloną długość."
"""%s"" has not only alphabetic and digit characters.","""%s"" zawiera nie tylko litery alfabetu i cyfry."
"""%s"" has not only alphabetic characters.","""%s"" zawiera nie tylko litery alfabetu."
"""%s"" height exceeds allowed value of %s px.","Wysokość ""%s"" przekracza dozwoloną wartość %s px."
"""%s"" invalid type entered.","""%s"" wpisany nieprwidłowy typ."
"""%s"" is a required value.","""%s"" jest polem wymaganym."
"""%s"" is an empty string.","""%s"" jest pustym ciągiem znaków."
"""%s"" is not a valid URL.","""%s"" nie jest poprawnym adresem URL."
"""%s"" is not a valid date.","""%s"" nie jest prawidłową datą."
"""%s"" is not a valid email address.","""%s"" nie jest prawidłowym adresem e-mail."
"""%s"" is not a valid file","""%s"" nie jest prawidłowym plikiem"
"""%s"" is not a valid file extension.","""%s"" nie jest prawidłowym rozszerzeniem pliku."
"""%s"" is not a valid file.","""%s"" nie jest prawidłowym plikiem."
"""%s"" is not a valid hostname.","""%s"" nie jest prawidłową nazwą hosta."
"""%s"" is not a valid image format","""%s"" nie jest prawidłowym formatem pliku"
"""%s"" length must be equal or greater than %s characters.","""%s"" długość musi być równa lub większa niż %s znaków."
"""%s"" length must be equal or less than %s characters.","""%s"" długość musi być równa lub mniejsza niż %s znaków."
"""%s"" width exceeds allowed value of %s px.","""%s"" szerokość przkracza dozwoloną wartość %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' zdaje się być hostem DNS ale nie można pobrać części TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' zdaje się być hostem DNS ale nie można dopasować TLD do znanej listy"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' zdaje się być hostem DNS ale nie można dopasować TLD '%tld%' do schematu hostów"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' zdaje się być nazwą lokalnej sieci ale nazwy lokalnej sieci nie są dozwolone"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' zdaje się być adresem IP, ale adresy IP nie są dozwolone"
"'%value%' does not appear to be a valid URI hostname","'%value%' nie wydaje się być poprawną nazwą URI hosta"
"'%value%' does not appear to be a valid local network name","'%value%' nie wydaje się być poprawną nazwą lokalnej sieci"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' nie pasuje do oczekiwanej struktóry nazwy hosta"
"A joint field with this alias (%s) is already declared","Połączone pole z aliasem (%s) zostało zadeklarowane wcześniej"
"Add Option","Dodaj opcję"
"An error occurred while loading a record, aborting. Error: %s","Problem podczas ładowania rekordu, przerwano. Błąd: %s"
"An error occurred while loading the collection, aborting. Error: %s","Problem podczas ładowania kolekcji, przerwano. Błąd: %s"
"An error occurred while saving a record, aborting. Error: ","Problem podczas zapisywania rekordu, przerwano. Błąd: %s "
"Attempt to add an invalid object","Dokonano próby dodania nieprawidłowego obiektu"
