"%s file does not exists or is not readable","Plik %s nie istnieje lub nie daje się odczytać."
"-- Please Select --","-- Proszę wybrać --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter musi być instancją Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Obiekt adaptera musi być instancją %s"
"Adapter type must be a non empty string","Adapter musi być tekstem niepustym"
"Append Complex Data","Dołącz kompleksowe dane"
"Attribute Code","Kod cechy"
"Attribute Label","Etykieta cechy"
"Attribute does not has options, so filtering is impossible","Cecha nie ma opcji, filtrowanie jest niemożliwe"
"Begin data validation","Rozpocznij walidację danych"
"Begin export of %s","Rozpocznij eksport %s"
"Begin import of ""%s"" with ""%s"" behavior","Rozpocznij eksport ""%s"" z zachowania ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Nie można określić typu filtra cech"
"Can not find required columns: %s","Nie można odnaleźć wymaganych kolumn: %s"
"Cannot get autoincrement value","Nie można pobrać wartości automatycznego zwiększania"
"Check Data","Sprawdź dane"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Zaznaczone rzędy: %d, zaznaczone elementy %d, nieprawidłowe rzędy: %d, łącznie błędów: %d"
"Column names have duplicates","Nazwy kolumn zawierają duplikaty"
"Column names is empty or is not an array","Nazwy kolumn są puste lub nie są tablicą"
"Column names: ""%s"" are invalid","Nazwy kolumn: ""%s"" są niepoprawne"
"Customers","Klienci"
"Data is invalid or file is not uploaded","Dane są niepoprawne lub plik nie został załadowany"
"Delete Entities","Usuń elementy"
"Destination directory is not writable","Katalog docelowy nie ma praw do zapisu"
"Destination file is not writable","Plik docelowy nie ma praw do zapisu"
"Destination file path must be a string","Docelowa ścieżka pliku musi być tekstem"
"Done import data validation","Walidacja danych importu zakończona"
"Duplicate Unique Attribute for '%s'","Zduplikowany unikalny atrybut dla '%s'"
"Entity Type","Typ jednostki"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Obiekt adaptera jednostki musi być instancją Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Obiekt adaptera jednostki musi być instancją Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Jednostka jest nieznana"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Model typu jednostki musi być instancją Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Model typu jednostki musi być instancją Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Błąd w strukturze danych: zachowania są wymieszane"
"Error in data structure: entity codes are mixed","Błąd w strukturze danych: kody jednostek są wymieszane"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limit błędów (%d) został osiągnięty. Popraw błędy i ponownie załaduj plik"
"Export","Eksport"
"Export File Format","Formal pliku eksportu"
"Export Settings","Ustawienia eksportu"
"Export has been done.","Eksport został zakończony."
"Exported %s rows.","Wyeksportowane rzędy: %s"
"File does not contain data.","Plik nie zawiera danych."
"File does not contain data. Please upload another one","Plik nie zawiera danych. Proszę załadować inny."
"File format is unknown","Format pliku jest nieznany"
"File is partially valid, but import is not possible","Plik jest częściowo poprawny, ale import jest niemożliwy."
"File is totally invalid. Please fix errors and re-upload file","Plik jest całkowicie niepoprawny. Proszę poprawić błędy i ponownie załadować plik"
"File is valid! To start import process press ""Import"" button","Plik jest poprawny! Naciśnij przycisk ""Import"" aby rozpocząć proces importu "
"File is valid, but import is not possible","Plik jest poprawny, ale import jest niemożliwy."
"File was not uploaded","Plik nie został przesłany."
"Filter","Filtr"
"From","Od"
"Header column names already set","Nazwy kolumn nagłówka już są ustawione"
"Import","Importuj"
"Import Behavior","Zachowanie importu"
"Import Settings","Ustawienia importu"
"Import has been done successfuly.","Import zakończony pomyślnie."
"Import successfully done.","Import zakończony pomyślnie."
"Import/Export","Import/eksport"
"Input entity code is not equal to entity adapter code","Kod wejścia jednostki nie jest równy kodowi adaptera jednostki"
"Invalid entity","Nieprawidłowa jednostka"
"Invalid entity model","Nieprawidłowy model jednostki"
"Invalid file format","Nieprawidłowy format pliku"
"Invalid parameters","Nieprawidłowe parametry"
"Invalid seek position","Nieprawidłowa pozycja szukania"
"Invalid value for '%s'","Nieprawidłowa wartość dla '%s'"
"Invalid value for '%s' column","Nieprawidłowa wartość dla kolumny '%s'"
"No filter data provided","Nie dostarczono filtra danych"
"No source specified","Nie sprecyzowano źródła"
"No valid data sent","Nie przesłano poprawnych danych"
"No writer specified","Nie podano zapisu"
"Node does not has model token tag","Węzeł nie posiada tagu tokena modelu"
"Not implemented yet","Nie zaimplementowane jeszcze."
"Please fix errors and re-upload file","Proszę poprawić błędy i załadować plik ponownie"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Proszę poprawić błędy i załadować plik ponownie lub wcisnąć przycisk ""Import"" aby pominąć rzędy z błędami"
"Products","Produkty"
"Replace Existing Complex Data","Zastąp kompleksowe dane"
"Select File to Import","Wybierz plik do importu"
"Skip","Pomiń"
"Source file moving failed","Nie udało się przenieść źródłowego pliku"
"Source file path must be a string","Ścieżka pliku źródłowego musi być linią tekstu"
"Source is not set","Źródło nie jest podane"
"Status","Status"
"There are no product types available for export","Brak typów produktów dostępnych do eksportu"
"There is no data for export","Brak danych do eksportu"
"To","Do"
"Total size of uploadable files must not exceed %s","Łączna wielkość załadowanych plików nie może przekraczać %s"
"Unknown attribute filter type","Nieznany typ filtru cech"
"Uploaded file has no extension","Załadowany plik nie ma rozszerzenia"
"Validation finished successfully","Walidacja zakończona pomyślnie."
"in rows","w rzędach:"
"in rows:","w rzędach:"
