" Copy","  Kopia"
"Action","Operacja"
"Add New Template","Dodaj nowy szablon"
"Add to Queue","Dodaj do kolejki"
"Allow Guest Subscription","Zezwól na subskrybowanie przez niezalogowanych"
"An error occurred while saving your subscription.","Wystąpił błąd podczas zapisywania subskrypcji."
"Are you sure that you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Are you sure that you want to strip all tags?","Czy na pewno chcesz usunąć wszystkie znaczniki?"
"Back","Powrót"
"Cancel","Anuluj"
"Cancelled","Anulowane"
"Cannot mark as received subscriber.","Nie można oznaczyć subskrybenta jako otrzymanego."
"Confirmation Email Sender","Nadawca wiadomości potwierdzenia"
"Confirmation Email Template","Szablon wiadomości potwierdzenia"
"Confirmation request has been sent.","Prośba o potwierdzenie została wysłana."
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Create Newsletter Template","Utwórz szablon newslettera"
"Customer","Klient"
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Customer My Account Newsletter Subscriptions","Konto klienta subskrycje newslettera"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Delete","Usuń"
"Delete Selected Problems","Usuń zaznaczone problemy"
"Delete Template","Usuń szablon"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Duplicate template code.","Klonuj kod szablonu."
"Edit Newsletter","Edycja newslettera"
"Edit Newsletter Template","Edycja szablonu newslettera"
"Edit Queue","Edycja kolejki"
"Edit Template","Edycja szablonu"
"Email","E-mail"
"Enter your email address","Wprowadź swój adres e-mail"
"Error Code","Kod błędu"
"Error Text","Tekst błędu"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Użyj tego linku, aby <!-- tag do usunięcia subskrypcji  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}"
"Guest","Gość"
"ID","ID"
"Invalid queue selected.","Wybrano nieprawidłową kolejkę."
"Invalid subscription ID.","Błędne ID subskrybcji."
"Invalid subscription confirmation code.","Nieprawidłowy kod potwierdzający subskrypcję."
"Message","Wiadomość"
"Need to Confirm","Wymaga potwierdzenia"
"New Newsletter Template","Nowy szablon newslettera"
"New Template","Nowy szablon"
