"An error occurred while clearing the external full page cache.","Wystąpił błąd podczas czyszczenia pamięci cache stron"
"Cookie Lifetime (seconds)","Czas ważności cookie (sekundy)"
"Enable External Cache","Włącz zewnętrzny mechanizm cache"
"External Cache Control","Kontrola zewnętrznego cache"
"External Full Page Cache Settings","Ustawienia zewnętrznej pamięci cache stron"
"External Page Cache","Zewnętrzny cache stron"
"External full page cache.","Zewnętrza pamięć cache stron."
"Failed to load external cache control","Nie udało się załadować zewnętrznej kontroli cache"
"Flush External Page Cache","Opróżnij zewnętrzny cache stron"
"If empty, default value will be used.","Domyślna wartość będzie użyta, jeśli puste."
"The external full page cache has been cleaned.","Zewnętrzna pamięć cache stron została opróżniona."
"Zend Full Page Cache","Pamięć cache stron Zend"
