"%s %s cycle.","Cykl %s %s."
"--Please Select--","-- Proszę wybrać --"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Credit Card Validation","Walidacja 3D Secure Card"
"<label>Make Check payable to:</label> %s","<label>Czek płatny dla:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Wartość jest wymagana dla trybu produkcyjnego. Odnieś się do swojej umowy CardinalCommerce."
"Allow Initial Fee Failure","Zezwól na błąd początkowej opłaty"
"An internal reference ID is required to save the payment profile.","Wewnętrzne ID referencji jest wymagane do utworzenia profilu płatności."
"Authorize action is not available.","Akcja autoryzacji nie jest dostępna."
"Auto Bill on Next Cycle","Rozlicz automatycznie w następnym cyklu."
"Automatically Invoice All Items","Automatycznie fakturuj wszystkie produkty"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatycznie rozlicz pozostałą kwotę w następnym cyklu rozliczeniowym (jeśli były jakieś nieudane płatności).)"
"Bank Transfer Payment","Płatność przelewem bankowym"
"Billing Agreement status is not set.","Status umowy rozliczeniowej nie jest ustawiony."
"Billing Amount","Kwota do rozliczenia"
"Billing Frequency","Częstotliwość rozliczeń"
"Billing Period","Okres rozliczeniowy"
"Billing Period Unit","Jednostka okresu rozliczeniowego"
"Billing period unit is not defined or wrong.","Jednostka okresu rozliczeniowego jest niezdefiniowana lub nieprawidłowa."
"Cannot retrieve the payment info model object.","Nie można pobrać informacji modelu obiektu płatności."
"Cannot retrieve the payment information object instance.","Nie można pobrać informacji instancji obiektu płatności."
"Cannot retrieve the payment method code.","Nie można pobrać kodu metody płatności."
"Cannot retrieve the payment method model object.","Nie można pobrać informacji modelu obiektu płatności."
"Capture action is not available.","Akcja przejęcia jest niedostępna."
"Card Verification Number","Numer weryfikacyjny karty"
"Cash On Delivery Payment","Płatne przy odbiorze"
"Centinel API URL","URL API Centinel"
"Check / Money Order","Czek / przelew"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: xxxx-%s","Numer karty kredytowej: xxxx-%s"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","Typ karty kredytowej: %s"
"Credit Card Types","Typy kart kredytowych"
"Credit card number mismatch with credit card type.","Numer karty nie zgadza się z podanym typem karty."
"Credit card type is not allowed for this payment method.","Karta kredytowa nie jest dozwolona w tej metodzie płatności."
"Currency","Waluta"
"Currency code is undefined.","Kod waluty jest niezdefiniowany."
"Customer ID is not set.","ID klienta nie zostało ustawione."
"Day","Dzień"
"Debug Mode","Tryb debugowania"
"Enabled","Włączone"
"Expiration Date","Data ważności"
"Expiration Date: %s/%s","Data ważności: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Pełne imię i nazwisko osoby otrzymującej produkt lub usługę opłaconą przez okresową płatność."
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty."
"Initial Fee","Opłata początkowa"
"Initial non-recurring payment amount due immediately upon profile creation.","Początkowa jednorazowa płatność natychmiast po utworzeniu konta."
"Instructions","Instrukcje"
"Internal Reference ID","Wewnętrzne ID referencji"
"Invalid Credit Card Number","Nieprawidłowy numer karty kredytowej"
"Issue Number","Numer wydania"
"Make Check Payable to","Czek wypłacany dla"
"Make Check payable to:","Czek wypłacany dla"
"Make Check payable to: %s","Numer konta: %s"
"Maximum Billing Cycles","Maksymalne cykle rozliczeniowe"
"Maximum Order Total","Maksymalna suma zamówienia"
"Maximum Payment Failures","Maksymalna ilość niepowodzeń płatności"
"Maximum Trial Billing Cycles","Maksymalne testowe cykle rozliczeniowe"
"Merchant ID","ID sprzedawcy"
"Minimum Order Total","Minimalna suma zamówienia"
"Month","Miesiąc"
"N/A","N/D"
"Name on Card","Nazwisko na karcie"
"Name on the Card","Nazwisko na karcie"
"Name on the Card: %s","Nazwisko na karcie: %s"
"New Order Status","Status nowego zamówienia"
"Number of billing periods that make up one billing cycle.","Ilość okresów rozliczeniowych składających się na jeden cykl."
"Order action is not available.","Akcja zamówienia nie jest dostępna."
"Overrides API URL that may be specified by a payment method.","Nadpisuje URL API, który może być podany przez metodę płatności."
"Password","Hasło"
"Payment ID: %s","ID płatności: %s"
"Payment Method","Forma płatności"
"Payment Methods","Metody płatności"
"Payment Methods Section","Sekcja Metod Płatności"
"Payment Reference ID","ID referencji płatności"
"Payment Services","Usługi płatności"
"Payment from Applicable Countries","Płatność z dozwolonych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Payment method code is not set.","Kod metody płatności nie jest dostępny."
"Payment method code is undefined.","Kod metody płatności jest niezdefiniowany.."
"Payment profile is invalid:\n%s","Profil płatności jest nieprawidłowy:\n%s."
"Period frequency is wrong.","Częstotliwość okresu jest nieprawidłowa."
"Please enter a valid credit card verification number.","Proszę o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Processor ID","ID procesora"
"Purchase Order","Wykup zamówienie"
"Purchase Order Number","Numer wykupienia zamówienia:"
"Purchase Order Number:","Numer wykupienia zamówienia:"
"Purchase Order Number: %s","Wykup zamówienie: %s"
"Recurring Profile Start Date","Data początkowa profilu okresowego"
"Recurring profile start date has invalid format.","Data początkowa profilu okresowego ma nieprawidłowy format."
"Reference ID is not set.","ID referencji nie jest ustaione."
"Refund action is not available.","Akcja refundacji jest niedostępna."
"Repeats %s time(s).","Powtarzaj %s raz(y)."
"Repeats until suspended or canceled.","Powtarzaj aż do zaiweszenia lub anulowania."
"Request Card Security Code","Żądanie kodu zabezpieczającego karty"
"Saved CC","Zapisane karty"
"Schedule Description","Opis planu"
"Schedule description must be not empty.","Opis planu musi nie być puste."
"Selected payment type is not allowed for billing country.","Wybrana płatność nie jest dozwolona dla wybranego kraju."
"Send Check to","Adres do przelewu"
"Send Check to:","Adres do przelewu:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe Validation Removes Chargeback Liability on Merchant"
"Shipping Amount","Wartość dostawy"
"Short description of the recurring payment. By default equals to the product name.","Krótki opis płatności okresowych. Domyśłnie równe nazwie produktu."
"Sort Order","Kolejność sortowania"
"Start Date","Data rozpoczęcia"
"Start date has invalid format.","Data początkowa ma nieprawidłowy format."
"Start date is undefined.","Data początkowa jest niezdefiniowana."
"Subscriber Name","Naza subskrybenta"
"Switch/Solo/Maestro Issue Number","Numer wydania karty Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Tylko Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data wydania karty Switch/Solo/Maestro"
"Tax Amount","Wartość podatku"
"Test Mode","Tryb testowy"
"The date when billing for the profile begins.","Data rozpoczęcia rozliczania proflu."
"The number of billing cycles for payment period.","Ilość cykli rozliczeniowych dla metody płatnosci."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Ilość zaplanowanych płatności, które mogą paść zanim profil zostanie automatycznie zawieszony."
"The payment review action is unavailable.","Akci opini płatności jest niedostępna."
"The requested Payment Method is not available.","Wybrana metoda płatności nie jest dostępna."
"Title","Tytuł"
"Trial Billing Amount","Testowa ilość rozliczenia"
"Trial Billing Frequency","Testowa częstotliwość rozliczenia"
"Trial Billing Period Unit","Jednostka te stowego okresu rozliczeniowego"
"Trial Period","Okres testowy"
"Trial billing amount is wrong.","Koszt umowy rozliczeniowej jest nieprawidłowy."
"Trial billing period unit is wrong.","Jednostka okresu testowego jest nieprawidłowa."
"Trial period frequency is wrong.","Częstotliwość okresu testowego jest nieprawidłowa."
"Trial period max cycles is wrong.","Maksymalna cykliczność okresu testowego jest nieprawidłowa."
"Two Weeks","Dwa tygodnie"
"Unable to save Billing Agreement:","Nie można zapisać umory rozliczeniowej:"
"Unit for billing during the subscription period.","Jednostki do rozliczenia podczas okresu subskrypcji."
"Unsupported currency code: %s.","Nieobsługiwany kod waluty: %s."
"Void action is not available.","Akcja wyczyszczenia jest niedostępna."
"Week","Tydzień"
"What is this?","Co to jest?"
