"-OR-","LUB"
"2-pixel perimeter around the header space.","2-pikselowa odległość naokoło przestrzeni nagłówka."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Walidacja 3D Secure jest wymagana dla kart Maestro. Wsparcie kart American Express wymaga dodatkowej umowy. Dowiedz się więcej na <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Rozpocznij przymować płatności przez PayPal!</a>"
"A case that has been resolved and close requires a reimbursement.","Sprawa zakończona i zamknięta wymaga zwrotu kosztów. "
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Wartość jest wymagana dla trybu produkcyjnego. Odnieś się do swojej umowy CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","Metody autentykacji API"
"API Certificate","Certyfikat API"
"API Password","Hasło API"
"API Signature","Podpis API"
"API Username","Nazwa użytkownika API"
"API Uses Proxy","Proxy użytkownika API"
"Ability for buyer to purchase without PayPal account.","Możliwość kupowania bez posiadania konta PayPal"
"Accept credit card and PayPal payments securely.","Akceptuj bezpiecznie płatności kartami kredytowymi i PayPal."
"Accept credit cards, debit cards and PayPal payments securely.","Akceptuj bezpiecznie płatności kartami kredytowymi, debetowymi i PayPal."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Akceptuj płatności PayPal w koszyku. PayPal będzie obsługiwał wszystkie płatności kartami przez bramkę Payflow."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Akceptuj płatności ze zgodnym z PCI procesem zamówień, który utrzyma twojego klienta na stronie."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Akceptuj płatności ze zgodnym z PCI procesem zamówień, który utrzyma twojego klienta na stronie."
"Accept payments with a completely customizable checkout page.","Akceptuj płatności z w pełni modyfikowalną stroną zamówienia."
"Accept payments with a completely customizable checkout.","Akceptuj płatności z w pełni modyfikowalnym procesem zamówienia."
"Acceptance Mark","Znak akceptacji"
"Acceptance Mark Image","Obrazek znaku akceptacji"
"Account-to-Account Payment, initiated by PayPal","Płatność konto-do-konta, zainicjowana przez PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Dodaj PayPal jako dodatkową metodę płatności, aby zwiększyć sprzedaż."
"Add PayPal as an additional payment method to your checkout page.","Dodaj PayPal jako dodatkową metodę płatności do strony zamówienia."
"Add another payment method to your existing solution or as a stand-alone option.","Dodaj dodatkową metodę płatności do swojego istniejącego rozwiązania lub jako niezależną opcję."
"Additional Options","Dodatkowe opcje"
"Address","Adres"
