"Abandoned Carts","Porzucone koszyki"
"Abandoned carts","Porzucone koszyki"
"Action","Operacja"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Any","Dowolny"
"Applied Coupon","Zastosowane kupony"
"Applies to Any of the Specified Order Statuses","Ma zastosowanie do dowlonego ze statusów wybranego zamówienia"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Czy na pewno chcesz odświerzyć całkowite statystyki? To może wpłynąć na wydajność sklepu podczas tej operacji."
"Are you sure?","Czy na pewno tego chcesz?"
"Avg. Approved Rating","Średnia zatwierdzona ocena"
"Avg. Rating","Średnia ocena"
"Bestsellers","Bestsellery"
"Bought from wishlists","Kupione ze schowka"
"CSV","CSV"
"Carts","Koszyki"
"Catalog Category (Without Subcategories)","Kategoria katalogu (bez podkategorii)"
"Compared Products Grid Template","Szablon siatki porównywanych produktów"
"Compared Products List Template","Szablon listy porównywanych produktów"
"Coupons","Kupony"
"Coupons Usage Report","Raport wykorzystania kuponów"
"Created At","Utworzono"
"Current Month Starts","Bieżący miesiąc zaczyna się"
"Customer","Klient"
"Customer Name","Nazwa klienta"
"Customer Tags","Tagi klientów"
"Customers","Klienci"
"Customers Report","Raporty klientów"
"Customers Reviews","Recenzje klientów"
"Customers Tags","Tagi klientów"
"Customers by Number of Orders","Klienci wg liczby zamówień"
"Customers by Orders Total","Klienci wg sumy zamówień"
"Customers by number of orders","Klienci wg liczby zamówień"
"Customers by orders total","Klienci wg sumy zamówień"
"Customers that have wishlist: %s%","Klienci posiadający schowek: %s%"
"Dashboard","Panel"
"Day","Dzień"
"Default Recently Compared Products Count","Domyślny licznik ostatnio porównywanych produktów"
"Default Recently Viewed Products Count","Domyślny licznik ostatnio oglądanych produktów"
"Description","Opis"
"Detail","Szczegół"
"Downloads","Pobrania"
"Email","E-mail"
"Empty Rows","Puste rzędy"
"Excel XML","Excel XML"
"Filter","Filtr"
"First Name","Imię"
"From","Od"
"Guest","Gość"
"Hits","Kliknięcia"
"ID","ID"
"IP Address","Adres IP"
"Index model name must be defined","Nazwa modelu indeksu musi zostać zadeklarowana"
"Invalid date specified.","Wybrana data jest nieprawidłowa"
"Invoiced","Zafakturowano"
"Items in Cart","Produkty w koszyku"
"Last Name","Nazwisko"
