"ALL","WSZYSTKIE"
"ANY","DOWOLNY"
"Add","Dodaj"
"Apply","Zastosuj"
"Conditions Combination","Kombinacja warunków"
"Customer Groups must be specified.","Grupa klientów musi byc wybrana"
"End Date must be greater than Start Date.","Data końcowa powinna być późniejsza niż data początkowa."
"FALSE","FAŁSZ"
"If %s of these conditions are %s:","Jeżeli %s z tych warunków jest %s:"
"Invalid discount amount.","Błędna wartość zniżki."
"Open Chooser","Otwórz selektor"
"Perform following actions","Wykonaj następujące czynności"
"Please choose a condition to add...","Wybierz warunek do dodania..."
"Please choose an action to add...","Wybierz operację do dodania..."
"Remove","Usuń"
"TRUE","PRAWDA"
"Websites must be specified.","Należy wybrać witryny."
"by","od"
"contains","zawiera"
"does not contain","nie zawiera"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"greater than","większy niż"
"is","jest"
"is not","nie jest"
"is not one of","nie jest jednym z "
"is one of","jest jednym z"
"less than","mniej niż"
"to","do"
