"""%s"" coupon code is not valid.","Kod kuponu ""%s"" jest nieważny."
"%s","%s"
"%s / %s rate:","%s / %s stawka:"
"%s for %s","%s dla %s"
"%s order(s) cannot be canceled","%s zamówień nie może być anulowanych"
"%s order(s) have been canceled.","%s zamówień zostało anulowanych."
"%s order(s) have been put on hold.","%s zamówień zostało wstrzymanych."
"%s order(s) have been released from holding status.","%s zamówień zostało uwolnionych z wstrzymania."
"%s order(s) were not put on hold.","%s zamówień nie zostało wstrzymanych."
"%s order(s) were not released from holding status.","%s zamówień nie zostało uwolnionych z wstrzymania."
"* - Enter custom price excluding tax","* - Wprowadź własną cenę bez podatku"
"* - Enter custom price including tax","* - Wprowadź własną cenę z podatkiem"
"* Required Fields","* wymagane pola"
"-- Please Select --","-- Proszę wybrać --"
"-- Please Select Billing Agreement--","-- Proszę wybrać umowę rozliczeniową --"
"About This Order:","O zamówieniu:"
"About This Profile:","O tym profilu:"
"About Your Invoice","O twojej fakturze"
"About Your Order","Informacje o zamówieniu"
"About Your Refund","O twoim zwrocie"
"About Your Shipment","O twojej dostawie"
"Accept Payment","Akceptuj płatność"
"Accept or Deny Payment","Akceptuj lub odrzuć płatność"
"Account Information","Dane konta"
"Action","Operacja"
"Actions","Operacje"
"Activate","Aktywuj"
"Active","Aktywny"
"Add","Dodaj"
"Add New Address","Dodaj nowy adres"
"Add Order Comments","Dodaj komentarze do zamówienia"
"Add Package","Dodaj pakiet"
"Add Products","Dodaj produkty"
"Add Selected Product(s) to Option","Dodaj wybrane produkty jako opcję"
"Add Selected Product(s) to Order","Dodaj wybrane produkty do zamówienia"
"Add Selected Product(s) to Package","Dodaj wybrane produkty do pakietu"
"Add To Order","Dodaj do zamówienia"
"Add Tracking Number","Dodaj numer przesyłki"
"Add comment to order","Dodaj komentarz do zamówienia"
"Add new comment to credit memo","Dodaj nowy komentarz do faktury korygującej"
"Add new comment to shipment","Dodaj nowy komentarz do wysyłki"
"Add new tracking number","Dodaj nowy numer przesyłki"
"Add to Cart","Dodaj do koszyka"
"Additional Product Info","dodatkowe informacje o produkcie"
"Address","Adres"
"Address model is not defined.","Model adresu nie jest zdefiniowany."
"Adjustment Fee","Opłata manipulacyjna"
"Adjustment Refund","Zwrot manipulacyjny"
"Agreement Information","Informacje umowy"
"Allow Reorder","Pozwól na ponowne zamówienie"
"Amount","Kwota"
"Amount: %s.","Kwota: %s"
"An error occurred while assigning order status. Status has not been assigned.","Wystąpił błąd podczas przypisywania statusu zamówienia. Status nie został przypisany."
"An error occurred while creating shipping label.","Wystąpił błąd podczas usuwania etykiety dostawy."
"An error occurred while saving order status. The status has not been added.","Wystąpił błąd podczas zapisywania statusu zamówienia. Status nie został dodany."
"An error occurred while unassigning order status.","Wystąpił błąd podczas odpinania statusu."
"An error occurred while updating the order address. The address has not been changed.","Wystąpił błąd podczas aktualizacji statusu zamówienia. Status nie został zmeiniony."
"An item option with code %s already exists.","Opcja produktu z kodem %s już istnieje."
"Anchor Custom Title","Własny tytuł kotwicy"
"Append Comments","Dołącz komentarz do maila (niezaznaczony pozostawi komentarz tylko do wiadomości sklepu)"
"Apply","Zastosuj"
"Apply Coupon Code","Zastosuj kod kuponu"
"Approved the payment online.","Zaakceptowana płatność online."
"Are you sure you want to accept this payment?","Czy na pewno chcesz zaakceptować tę płatność?"
"Are you sure you want to cancel this order?","Czy na pewno chcesz anulować to zamówienie?"
"Are you sure you want to delete all items from shopping cart?","Czy na pewno chcesz usunąć wszystkie przedmioty z koszyka?"
"Are you sure you want to deny this payment?","Czy na pewno chcesz odrzucić tę płatność?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure you want to send Creditmemo email to customer?","Czy na pewno chcesz wysłać fakturę korygującą do klienta?"
"Are you sure you want to send Invoice email to customer?","Czy na pewno chcesz wysłać fakturę do klienta?"
"Are you sure you want to send Shipment email to customer?","Czy na pewno chcesz wysłać informację o dostawie do klienta?"
"Are you sure you want to send order email to customer?","Czy na pewno chcesz wysłać informację o zamówieniu do klienta?"
"Are you sure you want to void the payment?","Czy na pewno chcesz unieważnić tę płatność?"
"Are you sure?","Czy na pewno tego chcesz?"
"Are you sure? This order will be canceled and a new one will be created instead","Czy jesteś pewien? To zamówienie zostanie usunięte a w miejsce niego zostanie utworzone nowe"
"Assign Order Status to State","Przypisz status zamówienia do stanu"
"Assign Status to State","Przypisz status do stanu"
"Assignment Information","Informacje o przypisaniu"
"At least a payment ID must be set.","Co najmniej ID płatności musi być ustawione."
"Authorization","Autoryzacja"
"Authorized amount of %s.","Autoryzowana kwota %s."
"Authorizing amount of %s is pending approval on gateway.","Autoryzowana kwota %s oczekuej na zatwierdzenie w bramce."
"Back","Powrót"
"Back to Billing Agreements","Powrót do umów rozliczeniowych"
"Back to My Orders","Powrót do moich zamówień"
"Back to Recurring Profiles","Wróć do profili okresowych"
"Backordered","Produkty brakujące do realizacji"
"Bestsellers","Bestsellery"
"Bill to Name","Rachunek na dane"
"Billing","Rozliczenie"
"Billing Address","Adres rozliczeniowy"
"Billing Agreement","Umowa rozliczeniowa"
"Billing Agreement # %s","Umowa rozliczeniowa nr %s"
"Billing Agreement #%s","Umowa rozliczeniowa nr %s"
"Billing Agreement View","Widok umowy rozliczeniowej"
"Billing Agreements","Umowy rozliczeniowe"
"Billing Last Name","Nazwisko rozliczenia"
"Billing ZIP Code","Kod pocztowy rozliczenia"
"Buy %s for price %s","Kup %s za %s"
"CSV","CSV"
"Cancel","Anuluj"
"Cancel credit memo","Anuluj fakturę korygującą"
"Cancel invoice","Anuluj fakturę"
"Cancel order","Anuluj zamówienie"
"Canceled","Anulowane"
"Canceled order offline.","Zamówienie anulowane offline."
"Canceled order online.","Zamówienie anulowane online."
"Cannot add order history.","Nie można dodać historii zamówienia."
"Cannot create an empty shipment.","Nie można utworzyć pustej wysyłki"
"Cannot determine the field name.","Nie można ustalić nazwy pola."
"Cannot do invoice for order.","Nie można utworzyć faktury dla zamówienia."
