" for more information or "," po więcej informacji lub "
"# of Items (and above)","Ilość produktów (i powyżej)"
"# of Items vs. Destination","Ilość produktów w zależności od lokalizacji"
"Allow Shipping to Multiple Addresses","Pozwól na dostawę do wielu adresów"
"An error occurred while import table rates.","Wystąpił błąd podczas importowania tabeli stawek."
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Carrier:","Dostawca:"
"City","Miasto"
"Close Window","Zamknij okno"
"Condition","Warunek"
"Country","Kraj"
"Custom Value","Niestandardowa wartość"
"Date","Data"
"Delivered on:","Dostarczono:"
"Delivered to:","Dostarczone do:"
"Description","Opis"
"Displayed Error Message","Wyświetlony błąd"
"Divide to equal weight (one request)","Podziel na równe wagi (jedno zapytanie)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Podwójny wpis #%s (Państwo ""%s"", Region/Województwo ""%s"", Kod pocztowy ""%s"" i Wartość ""%s"")"
"Enabled","Włączone"
"Error:","Błąd:"
"Export","Eksport"
"File has not been imported. See the following list of errors: %s","Plik nie został zaimportowany. Zobacz listę błędów: %s"
"Fixed","Stały"
"Flat Rate","Płaska stawka"
"Free Shipping","Darmowa dostawa"
"Google Sitemap Section","Dział Mapy Strony Google"
"Handling Fee","Opłata manipulacyjna"
"Import","Importuj"
"Include Virtual Products in Price Calculation","Włącz produkty wirtualne do obliczania ceny"
"Info:","Informacje:"
"Invalid %s ""%s"" in the Row #%s.","Niepoprawny %s ""%s"" w #%s"
"Invalid Country ""%s"" in the Row #%s.","Niepoprawne państwo ""%s"" w #%s"
"Invalid Region/State ""%s"" in the Row #%s.","Niepoprawny region/województwo ""%s"" w #%s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Niepoprawana cena wysyłki ""%s"" w #%s"
"Invalid Table Rate code for type %s: %s","Nieprawidłowy kod dla tabeli stawek %s: %s"
"Invalid Table Rate code type: %s","Nieprawidłowy kod dla tabeli stawek: %s"
"Invalid Table Rates File Format","Błędny format pliku tabeli stawek"
"Invalid Table Rates format in the Row #%s","Niepoprawne format tabeli stawek w linii #%s"
"Local Time","Lokalny czas"
"Location","Lokalizacja"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksymalna ilość dozwolona dla dostawy pod wiele adresów"
"Method Name","Nazwa metody"
"Minimum Order Amount","Minimalna wielkość zamówienia"
"N/A","N/D"
"None","Brak"
"Options","Opcje"
"Order Subtotal (and above)","Suma częsciowa zamówienia (i powyżej)"
"Origin","Pochodzenie"
"Per Order","Na zamówienie"
"Per Package","Za paczkę"
"Percent","Procent"
"Price","Cena"
"Price vs. Destination","Cena w zależności od lokalizacji"
"Region/State","Region/województwo"
"Service Type:","Typ usługi:"
"Ship to Applicable Countries","Dostawa do stosownych krajów"
"Ship to Specific Countries","Dostawa do wybranych krajów"
"Shipment #","Dostawa nr "
"Shipment Tracking Popup","Okienko śledzenia dostawy"
"Shipped or billed on:","Dostarczone lub rozliczone:"
"Shipping Methods","Formy dostawy"
"Shipping Methods Section","Sekcja Metod Wysyłki"
"Shipping Settings","Ustawienia dostawy"
"Shipping Settings Section","Sekcja Ustawień Wysyłek"
"Show Method if Not Applicable","Pokaż metodę jeśli niedostępna"
"Signed by:","Podpisane przez:"
"Sort Order","Kolejność sortowania"
"Status:","Status:"
"Store Pickup","Odbiór osobisty w sklepie"
"Street Address","Adres pocztowy"
"Street Address Line 2","Druga linia adresu pocztowego"
"Table Rates","Tabele stawek"
"The shipping module is not available for selected delivery country.","Wybrany moduł dostawy nie jest dostępny w wybranym kraju"
"The shipping module is not available.","Moduł dostawy nie jest dostępny."
"There is no tracking available for this shipment.","Śledzenie jest niedostępne dla tej dostawy."
"There is no tracking available.","Śledzenie jest niedostępne."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ta metoda dostawy jest aktualnie niedostępna Jeśli bardzo zależy ci na niej, skontaktuj się z nami."
"This shipping method is not available, please specify ZIP-code","Ta metoda dostawy nie jest dostępna, proszę podać kod pocztowy"
"Title","Tytuł"
"Track:","Ślad:"
"Tracking Information","Informacje o stanie dostawy"
"Tracking Number:","Numer śledzenia:"
"Tracking information is currently not available. Please ","Informacje o śledzeniu nie są aktualnie dostępne "
"Tracking information is currently unavailable.","Informacje o śledzeniu nie są aktualnie dostępne"
"Type","Typ"
"Use origin weight (few requests)","Użyj oryginalnej wagi (kilka zapytań)"
"Weight (and above)","Waga (i powyżej)"
"Weight vs. Destination","Waga w zależności od lokalizacji"
"Weight:","Waga:"
"ZIP/Postal Code","Kod pocztowy"
"contact us","skontaktuj się z nami"
"email us at ","napisz do nas na adres "
