"Action","Operacja"
"Add Sitemap","Dodaj mapę"
"Always","Zawsze"
"CMS Pages Options","Opcje stron CMS"
"Categories Options","Opcje kategorii"
"Daily","Codziennie"
"Edit Sitemap","Edytuj mapę"
"Enabled","Włączone"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Plik ""%s"" nie może zostać zapisany. Upewnij się, że katalog ""%s"" jest ma prawa zapisu przez serwer."
"Filename","Nazwa pliku"
"Frequency","Częstotliwość"
"Generate","Wygeneruj"
"Generation Settings","Ustawienia budowania mapy"
"Google Sitemap","Mapa Strony Google"
"Hourly","Co godzinę"
"ID","ID"
"Last Time Generated","Czas ostatniej modyfikacji"
"Link for Google","Link dla Google"
"Monthly","Co miesiąc"
"Never","Nigdy"
"New Sitemap","Nowa mapa witryny"
"Path","Ścieżka"
"Please create the specified folder ""%s"" before saving the sitemap.","Utwórz wybrany folder ""%s"" zanim zapiszesz mapę."
"Please define correct path","Zdefiniuj poprawną ścieżkę"
"Please make sure that ""%s"" is writable by web-server.","Upewnij się że ""%s"" może być zapisywany przez serwer."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Używaj tylko liter (a-z), cyfr (0-9) lub podkreślenia (_) w nazwie pliku. Inne znaki nie będą akceptowane."
"Priority","Priorytet"
"Products Options","Opcje produktów"
"Sitemap","Mapa witryny"
"Sitemap generate Warnings","Ostrzeżenia budowy mapy strony"
"Start Time","Czas rozpoczęcia"
"Store View","Widok sklepu"
"The priority must be between 0 and 1.","Priorytet musi mieć wartość pomiędzy 0 i 1."
"The sitemap ""%s"" has been generated.","Mapa witryny ""%s"" została wygenerowana."
"The sitemap has been deleted.","Mapa witryny została usunięta."
"The sitemap has been saved.","Mapa witryny została zapisana."
"This sitemap no longer exists.","Taka mapa strony już nie istnieje"
"Unable to find a sitemap to delete.","Nie można znaleźć mapy strony do usunięcia"
"Unable to find a sitemap to generate.","Nie udało się odnaleźć mapy strony do wygenerowania"
"Unable to generate the sitemap.","Nie udało się wygenerować mapy witryny."
"Valid values range: from 0.0 to 1.0.","Poprawne wartości to zakres od 0.0 do 1.0"
"Weekly","Co tydzień"
"Yearly","Co rok"
