"# of Uses","Ilość użyć"
"%s tag(s) have been accepted for moderation.","%s tag(i) zostały zaakceptowane do moderacji"
"<strong>Tag Name:</strong> %s","<strong>Nazwa tagu:</strong> %s"
"Action","Operacja"
"Add","Dodaj"
"Add New Tag","Dodaj nowy tag"
"Add Tags","Dodaj tagi"
"Add Your Tags:","Dodaj swoje tagi:"
"Add tag(s) to product","Dodaj tag(i) do produktu"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do schowka"
"All Tags","Wszystkie tagi"
"Approved","Zaakceptowany"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure?","Czy na pewno tego chcesz?"
"Back","Powrót"
"Back to Tags List","Powrót do listy tagów"
"Base Popularity","Bazowa popularność"
"Block Information","Informacje o bloku"
"CSV","CSV"
"Catalog Product View","Widok produktu"
"Change status","Zmień status"
"Click on a tag to view your corresponding products.","Kliknij na tag aby zobaczyć produkty nim oznaczone."
"Country","Kraj"
"Customer My Account My Tags List","Konto klienta lista tagów"
"Customer My Account Tag View","Konto klienta widok tagu"
"Customer Since","Klient od"
"Customers","Klienci"
"Customers Submitted this Tag","Klienci zgłosili ten tag"
"Customers Tagged '%s'","Oznaczone przez klientów '%s'"
"Delete","Usuń"
"Delete Tag","Usuń tag"
"Disabled","Wyłączone"
"Edit Tag '%s'","Edytuj tag '%s'"
"Email","E-mail"
"First Name","Imię"
"General Information","Informacje ogólne"
"Grid","Siatka"
"ID","ID"
"Info","Informacje"
"Last Name","Nazwisko"
"List","Lista"
"Manage Tags","Zarządzaj tagami"
"My Recent Tags","Moje ostatnie tagi"
"My Tags","Moje tagi"
"Name","Nazwa"
"New Tag","Nowy tag"
"No matches found.","Brak wyników."
"Other people marked this product with these tags:","Inni klienci oznaczyli ten produkt następującymi tagami:"
"Pending","Oczekuje"
"Pending Tags","Oczekujące tagi"
"Popular","Popularne"
"Popular Tags","Popularne tagi"
"Price","Cena"
"Product Name","Nazwa produktu"
"Product SKU","SKU produktu"
"Product Tag API","API tagów produktów"
"Product Tags","Tagi produktu"
"Products","Produkty"
"Products Tagged by Administrators","Produkty oznaczone tagiem przez administratora"
"Products Tagged by Customers","Produkty oznaczone tagiem przez klientów"
"Products Tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Rebuild Tag aggregation data","Przebuduj agregowane dane tagów"
"Remove","Usuń"
"Remove product tag","Usuń tag produktu"
"Retrieve list of tags by product","Pobierz listę tagóe wg produktu"
"Retrieve product tag info","Pobierz informację o tagu produktu"
"SKU","SKU"
"Save Tag","Zapisz tag"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Status","Status"
"Store View","Widok sklepu"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" został już dodany do produktu"
"Tag ""%s"" has been added to the product.","Tag ""%s"" został dodany do produktu."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" został odrzucony przez administratora."
"Tag Aggregation Data","Agregowane dane tagów"
"Tag Name","Nazwa tagu"
"Tagged Products List","Lista otagowanych produktów"
"Tags","Tagi"
"Tags List (All Available)","Lista tagów (wszystkie dostępne)"
"Tags List Before","Przed listą tagów"
"Tags:","Tagi:"
"Telephone","Telefon"
"The tag has been deleted.","Tag został usunięty."
"There are no tags available.","Nie ma żadnych dostępnych tagów."
"Unable to find any products tagged with '%s' in the current store","Nie udało się znaleźć żadnych produktów oznaczonych '%s' w tym sklepie"
"Unable to remove tag. Please, try again later.","Nie udało się usunąć tagu. Spróbuj ponownie."
"Unable to save tag(s).","Nie udało się zapisać tagów"
"Update","Aktualizuj"
"Update product tag","Aktualizuj tag produktu"
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji aby rozdzielić tagi, apostrofów (') aby wpisać frazy."
"View All Tags","Zobacz wszystkie tagi"
"View Customers","Zobacz klientów"
"View Products","Zobacz produkty"
"XML","XML"
"You have not tagged any products yet.","Nie masz oznaczonych żadnych produktów"
"ZIP/Post Code","Kod pocztowy"
"[STORE VIEW]","[WIDOK SKLEPU]"
