" was not delivered nor scanned"," 2rKMcT  <a href="http://yoampvqgmfqk.com/">yoampvqgmfqk</a>, [url=http://gvtanpplzpsi.com/]gvtanpplzpsi[/url], [link=http://mxknxygswrxu.com/]mxknxygswrxu[/link], http://gkjmockiysam.com/"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"1 Day Freight","1 Day Freight"
"2 Day","Dzień"
"2 Day AM","2 Day AM"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","Identyfikator dostępu"
"Access License Number","Access License Number"
"Account ID","Identyfikator konta klienta"
"Account Number","Numer konta"
"Additional Protection Configuration Value","Dodatkowa ochrona wartości dla konfiguracji"
"Additional Protection Enabled","Dodatkowa ochrona włączona"
"Additional Protection Min Subtotal","Dodatkowa ochrona - minimalna suma częściowa zamówienia"
"Additional Protection Value","Dodatkowa ochrona wartości"
"Additional Protection Value Rounding Method","Dodatkowa ochrona wartości - metoda zaokrąglenia"
"Adult","Osoba pełnoletnia"
"Adult Signature Required","Wymagany podpis osoby pełnoletniej"
"Allowed Methods","Dozwolone metody"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Cannot retrieve shipping rates","Nie można pobrać stawek metody wysyłki"
"Centimeters","Centymetry"
"Commercial","Komercyjna"
"Configuration","Konfiguracja"
"Container","Pojemnik"
"Content Type","Typ zawartości"
"Customer Packaging","Opakowanie klienta"
"Customer Supplied Package","Opakowanie dostaczone przez klienta"
"Customer services","Usługi klienta"
"DHL","DHL"
