"%s","%s"
"-- Please Select --","-- Proszę wybrać --"
"Actions","Operacje"
"Add Layout Update","Dodaj aktualizację układu"
"Add New Widget Instance","Dodaj nową instancję widgetu"
"All","Wszystko"
"All Pages","Wszystkie strony"
"All Product Types","Wszystkie typy produktów"
"An error occurred during saving a widget: %s","Wystąpił błąd podczas zapisywania widgetu: %s"
"Anchor Categories","Kategorie zakotwiczone"
"Apply","Zastosuj"
"Assign to Store Views","Przypisz do widoków sklepu"
"Big Image","Duży obrazek"
"Block Reference","Referencja bloku"
"CMS","CMS"
"Categories","Kategorie"
"Choose...","Wybierz..."
"Close","Zamknij"
"Continue","Kontynuuj"
"Default Template","Domyślny szablon"
"Delete","Usuń"
"Design Package/Theme","Pakiet wyglądu/motyw"
"Export to:","Eksportuj do:"
"Frontend Properties","Właściwości interfejsu klienta"
"Generic Pages","Ogólne strony"
"Images","Obrazki"
"Insert Widget","Wstaw widget"
"Insert Widget...","Wstaw widget..."
"Layout Updates","Aktualizacje układu"
"Manage Widget Instances","Zarządzaj instancjami widgetów"
"New Instance","Nowa instancja"
"New Widget Instance","Nowa instancja widgetu"
"Next page","Następna strona"
"Non-Anchor Categories","Kategorie niezakotwiczone"
"Not Selected","Nie wybrano"
"Open Chooser","Otwórz selektor"
"Page","Strona"
"Please Select Block Reference First","Proszę wybrać najpierw referencję bloku"
"Previous page","Poprzednia strona"
"Products","Produkty"
"Remove Layout Update","Usuń aktualizacje układu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Select All","Zaznacz wszystko"
"Select Visible","Zaznacz widoczne"
"Settings","Ustawienia"
"Sort Order","Kolejność sortowania"
"Sort Order of widget instances in the same block reference","Kolejność sortowania instancji widgetu w tym samym bloku"
"Specific %s","Wybrane %s"
"Specified Page","Wybrana strona"
"Template","Szablon"
"The information in this tab has been changed.","Informacje w tej zakładce zostały zmienione."
"The widget instance has been deleted.","Instancja widgetu została usunięta."
"The widget instance has been saved.","Instancja widgetu została zapisana."
"This tab contains invalid data. Please solve the problem before saving.","Zakładka zawiera nieprawidłowe dane. Proszę naprawić problem przed zapisem."
"Thumbnail","Miniaturka"
"Total %d records found","Znaleziono łącznie %d rekord(ów)"
"Type","Typ"
"Unselect All","Odznacz wszystko"
"Unselect Visible","Odznacz widoczne"
"View","Zobacz"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID widgetu"
"Widget Insertion","Wstawianie widgetu"
"Widget Instance","Instancja widgetu"
"Widget Instance Title","Tytuł instancji widgetu"
"Widget Options","Opcje widgetu"
"Widget Type","Typ widgetu"
"Widget Type is not specified","Typ widgetu nie został wybrany"
"Widget instance is not full complete to create.","Instancja widgetu nie jest w pełni gotowa do utworzenia."
"Widgets","Widgety"
"Wrong widget instance specified.","Wybrana została błędna instancja widgetu."
"items selected","wybrane elementy"
"of %s pages","z %s stron"
"per page","na stronę"
