" But cart has some errors."," Ale koszyka ma jakieś błędy."
" Note: Image size affects the performance of your app."," Uwaga: wielkość obrazka ma wpływ na wydajność aplikacji."
"""Description"" is more than %d characters long","""Opis"" jest dłuższy niż %d znaków"
"""Title"" is more than %d characters long","""Tytuł"" jest dłuższy niż %d znaków"
"""id"" attribute is required for a ""%s"" field.","Cecha ""id"" jest wymagana w polu ""%s"""
"""line_count"" attribute is required for ""multiline"" element.","Cecha ""line_count"" jest wymagana dla elementu ""multiline"""
"""message"" attribute is required for ""%s"" validator rule.","Cecha ""wiadomość"" jest wymagana dla reguły walidującej ""%s""."
"%1$s has been added to your wishlist.","%1$s został dodany do schowka."
"%1$s incl tax.","%1$s z podatkiem"
"%@ is not correct","%@ nie jest poprawny"
"%s API Key required.","%s klucz API jest wymagany."
"%s Application ID required.","ID apliakcji %s jest wymagane."
"%s Secret Key required.","Sekretny klucz %s jest wymagany."
"%s attribute is required.","Cecha %s jest wymagana."
"%s fields is required","Pole %s jest wymagane"
"%s has been added to your cart.","%s został dodany do koszyka."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s został zaktualizowany w Twoim koszyku."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Zawiera więcej krajów niż wypisane poniżej. Jako właściciel aplikacji, jesteś odpowiedzialny za zgodność z lokalnym prawem związanym z dystrybucją lub sprzedażą swojej aplikacji w tym kraju, wliczając kraj pochodzenia.)"
"* - field is required","* - pole jest wymagane"
"*Subject to change","* może ulec zmianie"
"1. Please select type of the action:","1. Wybierz typ akcji:"
"10:40 AM","przed południem"
"2. Please select a page","2. Wybierz stronę"
"2. Type Category Name","2. Wybierz nazwę kategorii"
"2. Type Product Name","2. Wpisz nazwę produktu"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Zaloguj</a> do Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Aplikacja tylko katalogu nie będzie obsługiwała funkcji takich jak dodaj do koszyka, dodaj do schowka lub logowania."
"A new password has been sent.","Nowe hasło zostało wysłane."
"About","Informacje"
"Access forbidden","Dostęp wzbroniony"
"Account","Konto"
"Account Information","Dane konta"
"Account Settings","Ustawienia konta"
"Account confirmation is required. Please check your email for the confirmation link.","Potwierdzenie konta jest wymagane. Proszę sprawdzić skrzynkę e-mail, powinien już tam czekać klucz potwierdzający."
"Account information has been saved.","Informacje konta zostały zapisane."
"Action","Operacja"
"Action type does\'t recognized","Typ akcji nie jest rozpoznany"
"Action type does\'t recognized.","Typ akcji nie jest rozpoznany."
"Action type doesn\'t recognized.","Typ akcji nie jest rozpoznany"
"Activate","Aktywuj"
"Activate PayPal Checkout","Aktywuj zamówienia PayPal"
"Activate PayPal MECL","Aktywuj PayPal MECL"
"Activation Key","Klucz aktywacyjny"
"Add","Dodaj"
"Add Action","Dodaj akcję"
"Add Address from Contacts","Dodaj adres z kontaktów"
"Add App","Dodaj aplikację"
"Add Custom","Dodaj indywidualne"
"Add New Address","Dodaj nowy adres"
"Add New Template","Dodaj nowy szablon"
"Add Page","Dodaj stronę"
"Add To Wishlist","Dodaj do schowka"
"Add a billing address","Dodaj adres rozliczeniowy"
"Add a shipping address","Dodaj adres dostawy"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do schowka"
"Adding Product to Cart...","Dodawanie produktu do koszyka..."
"Adding Product to WishList...","Dodawanie produktu do schowka..."
"Additional Address","Dodatkowy adres"
"Additional Info","Dodatkowe informacje"
"Address","Adres"
"Address 2","Adres"
"Address Book","Książka adresowa"
"Address Book Updated","Zaktualizowana książka adresowa"
"Address Info","Informacje o adresie"
"Address book is empty","Książka adresowa jest pusta"
"Address data not specified.","Dane adresowe nie są podane."
"Address does not belong to this customer.","Adres nie jest przypisany do tego klienta."
"Address has been deleted.","Adres został usunięty."
"Address has been saved.","Adres został zapisany."
"Admin Application Settings","Ustawienia aplikacji administracyjnej"
"Admin Mobile Application","Ustawienia aplikacji mobilnej"
"Admin application has not been enabled","Aplikacja administracyjna nie została włączona"
"Administrative contact for this app and for app submission issues.","Kontakt administracyjny dla tej aplikacji i dla kwestii związanych z jej zgłoszeniem."
"Advanced Settings","Zaawansowane ustawienia"
