"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Wszystkie karty kredytowe / Visa, Mastercard, AMEX, JCB, Diners (obsługwane przez Moneybookers) - międzynarodowe"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (obsługwane przez Moneybookers) - Włochy"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (obsługwane przez Moneybookers) - Francja"
"Customer ID","ID klienta"
"Dankort (powered by Moneybookers) - Denmark","Dankort (obsługwane przez Moneybookers) - Dania"
"EPS Online-��berweisung (powered by Moneybookers) - Austria","EPS Online (obsługiwane przez Moneybookers) - Austra"
"Enabled","Włączone"
"Find out more about Online Bank Transfer","Dowiedz się więcej o transferach bankowych online"
"Giropay (powered by Moneybookers) - Germany","Giropay (obsługwane przez Moneybookers) - Niemcy"
"Laser (powered by Moneybookers) - Ireland","Laser (obsługwane przez Moneybookers) - Irelndia"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (obsługwane przez Moneybookers) - Niemcy"
"Loading secure payment page (SSL)","Ładowanie bezpiecznej strony płatności (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (obsługwane przez Moneybookers) - United Kingdom, Austria, Hiszpania"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Ustawienia Moneybookers"
"Moneybookers Transaction ID: %s","ID transakcji Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Więcej informacji o Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (obsługwane przez Moneybookers) - Finlandia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (obsługwane przez Moneybookers) - Szwecja"
"Online Bank Transfer (powered by Moneybookers)","Transfer bankowy online (obsługwane przez moneybookers)"
"Order ID","ID zamówienia"
"POLi (powered by Moneybookers) - Australia","POLi (obsługwane przez Moneybookers) - Australia"
"Payment failed.","Płatność nie powiodła się."
"Payment from Applicable Countries","Płatność z dozwolonych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Payment has not been processed yet.","Płatność jeszcze nie została przetworzona."
"Payment was canceled.","Płatność została anulowana."
"Pending bank transfer created.","Utworzono oczekujący przelew bankowy."
"Please pay your order now","Proszę teraz zapłacić za zamówienie"
"Postepay (powered by Moneybookers) - Italy","Postepay (obsługwane przez Moneybookers) - Włochy"
"Powered by Moneybookers","Obsługwane przez Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (obsługwane przez Moneybookers) - Polska"
"Sofort��berweisung (powered by Moneybookers) - Germany","Sofort (obsługwane przez Moneybookers) - Niemcy"
"Sort Order","Kolejność sortowania"
"The amount has been authorized and captured by Moneybookers.","Kwota została autoryzowana i przechwycona przez Moneybookers."
"The customer was redirected to Moneybookers.","Klient został przekierowany do Moneybookers."
"The order has been canceled.","Zamówienie zostało anulowane."
"Title","Tytuł"
"You will be redirected to our secure payment page when you place an order.","Zostaniesz przekierowany na bezpieczną stronę płatności po złożeniu zamówienia."
"eNETS (powered by Moneybookers) - Singapore","eNETS (obsługwane przez Moneybookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (obsługwane przez Moneybookers) - Holandia"
